File	Lab	Experiment_type	Factor	Cell	Tissue	Datatype	Short_name	Individual	GEO_accession
A549-all.twopass.merge150.wgt10.zgt2.wig	Combined	DNase-seq	NA	A549	Epithelium	Hotspots	A549	NA	GSM816649,GSM736580,GSM736506
Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Adult_CD4+	Blood	Hotspots	Adult_CD4+	NA	Lookup
AG04449-DS12319.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AG04449	Skin	Hotspots	AG04449	NA	GSM736562,GSM736590
AG04450-DS12270.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AG04450	Lung	Hotspots	AG04450	NA	GSM736514,GSM736563
AG09309-DS12352.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AG09309	Skin	Hotspots	AG09309	NA	GSM736551,GSM736616
AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AG09319	Gingival	Hotspots	AG09319	NA	GSM736531,GSM736619
AG10803-DS12384.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AG10803	Skin	Hotspots	AG10803	NA	GSM736598,GSM736633
AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	AoAF	Blood vessel	Hotspots	AoAF	NA	GSM736583,GSM736505
BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	BE2_C	Brain	Hotspots	BE2_C	NA	Lookup
BJ-DS10081.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	BJ	Skin	Hotspots	BJ	NA	GSM736518,GSM736596
CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	Caco-2	Colon	Hotspots	Caco-2	NA	GSM736500,GSM736587
CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	CD14+	Blood	Hotspots	CD14+	NA	Lookup
CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	CD20+	Blood	Hotspots	CD20+	NA	Lookup
CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	CD34+	Blood	Hotspots	CD34+	NA	Lookup
CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	CMK	Blood	Hotspots	CMK	NA	GSM736607
E_myoblast_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	E_myoblast	Muscle	Hotspots	E_myoblast	NA	Lookup
GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	GM06990	Blood	Hotspots	GM06990	NA	GSM736558,GSM736635
GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	UW	DNase-seq	NA	GM12864	Blood	Hotspots	GM12864	NA	GSM736525
