Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.516	0.325015702272185	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12051548	1	GSM816644
-1.169	4.82163733276643e-17	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		2	Lookup
-0.858	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.884	4.34294517858653e-11	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.932	4.3429403569492e-11	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-0.925	4.34294517858653e-11	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.791	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.677	4.82163733276643e-17	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.605	0.351970128697554	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1000778	9	GSM736525
-0.851	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
2.028	1.06523171807229	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs174479,rs7157785,rs7258249	11	GSM816665,GSM736496,GSM736620
2.323	1.22890594842076	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12051548,rs174479,rs7157785	12	GSM816656
0.032	0.195791921154813	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12051548	13	GSM816657
0.518	0.328611603207875	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs174479	14	GSM816653
-1.082	0	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		15	GSM816658
-0.945	0	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.029	0.195253352333906	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12051548	17	GSM816648
-0.876	4.34295000022386e-11	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.851	4.34294517858653e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.252	0.135152040258944	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs174479	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.819	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
0.031	0.196060243052318	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs174479	22	GSM736592,GSM1024760
-0.691	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-0.809	4.3429403569492e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.792	4.82163733276643e-17	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
0.316	0.269167585911879	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1000778	26	GSM736509,GSM736554
0.555	0.339199917444817	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs174479	27	GSM1024745,GSM1024747
0.526	0.33331820825691	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1000778	28	GSM736609,GSM736523
0.241	0.252735797218349	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs1000778	29	GSM736571,GSM736521
-0.736	4.3429403569492e-11	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
0.538	0.332268536335955	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs1000778	31	GSM736577,GSM736573
0.689	0.381531490960429	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs1000778	32	GSM736611,GSM736624
1.648	0.816814449522211	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs1000778,rs10938494	33	GSM736542,GSM736511
-0.832	0	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-0.842	4.82163733276643e-17	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig		35	GSM1024763
-0.835	4.82163733276643e-17	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
-0.172	0.149762492702291	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs174479	37	GSM816646,GSM736575,GSM736533
1.523	0.8073535320474	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1566039,rs174479,rs7258249	38	Lookup
-0.852	4.82163733276643e-17	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
1.311	0.648356237621032	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1000778,rs12051548	40	GSM816668
0.773	0.455221516701798	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs174479,rs7157785	41	GSM816636
-0.717	4.34294517858653e-11	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
-0.529	0	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
-1.011	4.3429403569492e-11	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig		44	GSM736594,GSM736535
0.962	0.524822699305386	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10938494,rs174479	45	GSM816669,GSM736634,GSM736552
-0.770	4.34294517858653e-11	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
0.926	0.511025054063677	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs174479,rs7258249	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.121	0.218497701520486	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7258249	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.953	4.34294517858653e-11	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-0.876	4.34295000022386e-11	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig		50	GSM736586,GSM736538
0.793	0.464328250907128	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs1000778,rs174479	51	GSM816633,GSM816643,GSM736564,GSM736510
0.500	0.328096353925252	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1566039	52	GSM816633,GSM816643,GSM736564,GSM736510
