Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.024	0.575033967743276	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284033,rs4129267	1	GSM816644
0.340	0.310857600102577	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1101999,rs4129267	2	Lookup
-0.162	0.157111743699678	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4129267	3	Lookup
0.671	0.426756909688733	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1101999,rs9272346	4	Lookup
-1.288	8.68589035760736e-11	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
0.960	0.534490816682196	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3894194,rs4129267	6	GSM816664
1.100	0.583737058143059	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4129267,rs744910	7	GSM736607
-0.931	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-1.076	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.130	0.162421546359901	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs9272346	10	GSM736512,GSM736561
0.150	0.256688141238641	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4129267,rs9272346	11	GSM816665,GSM736496,GSM736620
-0.345	0.124249965489918	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4129267	12	GSM816656
0.491	0.355220519783111	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3894194,rs4129267	13	GSM816657
-0.020	0.188572829739871	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9272346	14	GSM816653
-0.362	0.120620656538965	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4129267	15	GSM816658
-1.226	0	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.466	0.354183302480341	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11078927,rs4129267	17	GSM816648
-0.342	0.120025688056343	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4129267	18	GSM736626,GSM736595
