Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.243	0.29207651385456	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664	1	GSM701525
0.185	0.276213858179521	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs7498665	2	GSM701526
0.142	0.262965533875708	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288	3	GSM665837
0.830	0.540967888634287	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs29941,rs7359397	4	GSM701516
1.371	0.827615459112688	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs1561288,rs713586,rs7359397	5	GSM701489
0.440	0.367121019610035	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs7359397	6	GSM701491
-0.320	0.146051357863638	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs3810291	7	GSM665812
-0.749	0.0577307107218301	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs11671664	8	GSM665839
-0.426	0.126375854830039	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs7138803	9	GSM817166
1.677	0.968813825355445	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288,rs29941,rs7498665	10	GSM701539
-0.365	0.134367952352641	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs6499640	11	GSM817160
1.115	0.705867835943499	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs1121980,rs11671664,rs29941,rs6499640	12	GSM665813
