Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.176	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3942852,rs563507	1	GSM816644
0.656	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs4132601,rs17837497,rs2089222	2	Lookup
3.130	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs920590,rs6964969,rs207954,rs7089424,rs7142143,rs546784	3	Lookup
-0.687	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs6964969	4	Lookup
0.703	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs6683977	5	Lookup
0.850	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4982731,rs7554607,rs2089222	6	GSM816664
-1.166	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-1.157	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
2.103	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs4982731,rs10821936	9	GSM736525
1.068	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs10821936	10	GSM736512,GSM736561
1.790	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs920590,rs6964969,rs3942852,rs7089424,rs17837497	11	GSM816665,GSM736496,GSM736620
0.245	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs12621643	12	GSM816656
2.403	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs4982731,rs17837497,rs11978267,rs12621643	13	GSM816657
0.236	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6964969,rs3942852	14	GSM816653
0.234	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs11978267	15	GSM816658
3.107	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2239633,rs6964969,rs4982731,rs3942852,rs207954,rs11978267,rs17079534	16	GSM816659
