Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.268	0.31034961404266	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458	1	GSM701525
-0.604	0.0942243640533822	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458	2	GSM701526
2.073	1.2313175534091	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs17632159,rs2078267,rs2544390,rs606458,rs7193778	3	GSM665837
1.558	0.920500088608717	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs17632159,rs478607,rs606458,rs642803,rs675209,rs7193778	4	GSM701516
-0.624	0.0972222364798631	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458	5	GSM701489
-0.813	0.0631763248555537	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs606458	6	GSM701491
-0.737	0.0728698210878975	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs606458	7	GSM665812
-0.052	0.218321459340081	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458	8	GSM665839
-1.222	0.0268185604469438	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs606458	9	GSM817166
0.242	0.310137770595765	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1260326,rs2078267,rs606458	10	GSM701539
0.063	0.257004646481021	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs17632159,rs2078267,rs606458	11	GSM817160
-0.658	0.0946220909496939	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs17050272,rs606458,rs675209	12	GSM665813
0.106	0.262360871976732	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458	13	GSM665838
0.331	0.342216082884167	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458,rs7953704	14	GSM701499
-0.687	0.0862188486796737	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs606458	15	GSM701540
-0.103	0.204450242533075	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs17050272,rs606458	16	GSM701503
-0.408	0.129230463914236	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs606458	17	GSM701541
-0.371	0.1398747688511	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458,rs7224610	18	GSM701492
-0.286	0.159646465031633	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458,rs7953704	19	GSM701493
-0.964	0.04969789611817	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458	20	GSM701507
2.224	1.40347771941615	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs1471633,rs17632159,rs2078267,rs606458,rs6598541,rs7224610,rs729761	21	GSM701500
0.010	0.235019787913305	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs606458	22	GSM530664
0.562	0.426974498217324	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	23	GSM530658
0.671	0.464559249670981	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	24	GSM530659
0.632	0.453791249158823	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	25	GSM595919
0.670	0.471086601529364	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs506338,rs606458	26	GSM493386
0.926	0.583222126244192	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	27	GSM595917
0.466	0.385234269657554	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	28	GSM530660
0.563	0.434628161749685	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458	29	GSM493387
