Zscore	Cell	Tissue	File	SNPs	Number	Accession
2.571	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7129220,rs653178,rs17367504,rs11222084,rs12067906,rs17608766	1	GSM816644
-0.394	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs17367504,rs2932538	2	Lookup
2.207	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs935334,rs6749447,rs13082711,rs17367504,rs2932538	3	Lookup
1.753	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs17367504,rs2521501,rs2932538,rs17608766	4	Lookup
2.250	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs880315,rs7129220,rs6749447,rs17367504,rs2932538,rs17608766	5	Lookup
-0.928	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	6	GSM816664
1.621	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs11222084,rs2932538,rs17608766	7	GSM736607
0.381	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs2932538	8	GSM736558,GSM736635
-0.119	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs653178,rs2932538	9	GSM736525
1.327	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs653178,rs12067906,rs2932538	10	GSM736512,GSM736561
0.154	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11191593,rs3096277,rs17367504,rs2932538	11	GSM816665,GSM736496,GSM736620
-1.362	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	12	GSM816656
-1.478	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	13	GSM816657
-0.799	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	14	GSM816653
-0.076	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs198846,rs17367504,rs2932538	15	GSM816658
-1.034	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	16	GSM816659
-1.551	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17608766	17	GSM816648
1.833	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs11191593,rs17367504,rs2932538,rs17608766	18	GSM736626,GSM736595
-0.441	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs2932538	19	GSM736501,GSM736492
