Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.298	0.147631121888504	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1476698,rs4129267	1	GSM816644
1.623	0.9415395108601	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10157379,rs10512597,rs11242111,rs4129267,rs4817986,rs6734238,rs7968440	2	Lookup
1.502	0.880779247425011	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698,rs4129267,rs4817986,rs6734238	3	Lookup
-0.607	0.0910504105241996	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698	4	Lookup
0.483	0.401095688863868	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698,rs2522056,rs6734238	5	Lookup
-1.179	0.0236410842988137	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4129267	6	GSM816664
0.465	0.376935428161803	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698,rs4129267	7	GSM736607
-0.858	0.0486853470218618	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2522056	8	GSM736558,GSM736635
-0.156	0.179583845547527	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2522056,rs6734238	9	GSM736525
0.429	0.370179323324788	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698,rs2522056	10	GSM736512,GSM736561
-0.538	0.111151367160389	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs4129267,rs4817986	11	GSM816665,GSM736496,GSM736620
-1.232	0.0327015346303295	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4129267,rs4817986	12	GSM816656
0.384	0.350796409298442	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs16844401,rs4129267,rs4817986,rs7968440	13	GSM816657
-0.400	0.127029468730865	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2522056,rs4817986	14	GSM816653
-0.410	0.135397323198558	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10512597,rs4129267,rs4817986	15	GSM816658
-0.142	0.194513258748603	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1476698,rs2286503,rs7968440	16	GSM816659
-1.007	0.0433516326153835	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10512597,rs4129267	17	GSM816648
0.058	0.247079165919144	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1476698,rs2522056,rs4129267	18	GSM736626,GSM736595
0.426	0.371861016716649	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs11242111,rs1476698,rs2522056	19	GSM736501,GSM736492
