Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.900	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs823128	1	GSM816644
-0.774	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs2736990,rs199515,rs11868035,rs823156	2	Lookup
0.075	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs1296028,rs1491942,rs11248060	3	Lookup
0.964	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs11248051,rs12726330,rs823128,rs1491942,rs11248060	4	Lookup
-0.317	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1491942,rs11868035	5	Lookup
-0.077	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs1296028,rs11248060,rs11868035	6	GSM816664
0.419	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs11248060,rs199515,rs11868035	7	GSM736607
1.752	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs11248051,rs12726330,rs2839398,rs11868035	8	GSM736558,GSM736635
0.450	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs7702187,rs12726330,rs823128	9	GSM736525
1.657	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs823128,rs199533,rs11248060,rs11868035	10	GSM736512,GSM736561
1.316	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs6599389,rs6430538,rs12726330,rs823128,rs11248060,rs11868035,rs6599388	11	GSM816665,GSM736496,GSM736620
-1.171	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs12063142,rs11865038,rs11868035	12	GSM816656
-0.501	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs17115100,rs12063142,rs11248060,rs199515,rs11868035	13	GSM816657
-0.583	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs11865038,rs11868035	14	GSM816653
0.516	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6532197,rs12726330,rs17115100,rs823128,rs11248060,rs199515,rs11868035	15	GSM816658
-0.377	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs11248060,rs199515,rs11868035	16	GSM816659
1.070	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs1296028,rs10464059,rs11865038,rs11248060,rs199515,rs11868035,rs823156	17	GSM816648
1.211	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs823128,rs11865038,rs1491942,rs11248060,rs11868035	18	GSM736626,GSM736595
0.191	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs11248060,rs11868035	19	GSM736501,GSM736492
1.503	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs6599389,rs6430538,rs12726330,rs1491942,rs11248060,rs11868035,rs6599388,rs2275336	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.062	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs823128,rs1491942,rs11248060,rs11868035	21	GSM736604,GSM736529
0.930	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs6599389,rs6430538,rs12726330,rs11248060,rs11868035,rs6599388	22	GSM736592,GSM1024760
-0.039	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs2275336	23	GSM736502,GSM1024792
