Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.414	0.393034297524304	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs13326165,rs16942887,rs4660293,rs4917014,rs643531,rs998584	1	GSM701525
2.248	1.38380806216411	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs11869286,rs13326165,rs1532624,rs2923084,rs2925979,rs386000,rs643531,rs737337,rs9989419	2	GSM701526
2.437	1.56925603491238	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs1077835,rs16942887,rs2074356,rs247617,rs3822072,rs4420638,rs471364,rs4917014,rs581080,rs643531	3	GSM665837
0.512	0.44559185722306	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs16942887,rs17145738,rs1864163,rs2013208,rs2290547,rs4660293,rs4917014,rs581080,rs643531,rs9989419	4	GSM701516
1.976	1.31058711893559	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs1077835,rs12145743,rs16942887,rs17695224,rs2293889,rs2925979,rs3822072,rs4660293,rs471364,rs4917014,rs581080,rs643531,rs9989419	5	GSM701489
2.422	1.66251460594995	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs12748152,rs1532624,rs16942887,rs17695224,rs2925979,rs4917014,rs581080,rs643531,rs7120118,rs7134375,rs964184,rs9989419	6	GSM701491
0.466	0.424702644316811	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs13326165,rs17695224,rs2925979,rs3905000,rs4917014,rs643531,rs9282541,rs9989419	7	GSM665812
0.800	0.562202321003234	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs1532624,rs16942887,rs17695224,rs2923084,rs2925979,rs4917014,rs581080,rs643531	8	GSM665839
1.274	0.853626002438421	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs11216126,rs16942887,rs181362,rs3136441,rs4917014,rs499974,rs643531,rs731839,rs737337,rs7679,rs838880,rs9989419	9	GSM817166
3.578	2.64324107202383	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs1532624,rs16942887,rs17695224,rs1864163,rs2293889,rs2925979,rs2967605,rs643531,rs731839,rs737337,rs998584,rs9989419	10	GSM701539
-0.174	0.206530737111001	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs1532624,rs2814944,rs2925979,rs4917014,rs581080,rs643531,rs7240405	11	GSM817160
0.634	0.505101157192052	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs1121980,rs1532624,rs16942887,rs255049,rs4765127,rs4917014,rs581080,rs643531,rs7120118,rs964184	12	GSM665813
0.488	0.42027620596479	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs2923084,rs2925979,rs4917014,rs581080,rs643531	13	GSM665838
1.389	0.92765545525801	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs1077835,rs11216126,rs12748152,rs16942887,rs17145738,rs2290547,rs3822072,rs4917014,rs643531,rs7120118,rs7679	14	GSM701499
1.026	0.66758360745065	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs13326165,rs16942887,rs4917014,rs643531,rs731839,rs737337,rs7679	15	GSM701540
1.117	0.739285539102889	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs12748152,rs13326165,rs17695224,rs2925979,rs386000,rs7679,rs998584	16	GSM701503
0.827	0.590356433489192	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs16942887,rs17695224,rs2925979,rs4660293,rs998584	17	GSM701541
0.754	0.53826055253666	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs10489615,rs1532624,rs17145738,rs2925979,rs386000,rs581080,rs643531,rs731839,rs9989419	18	GSM701492
1.881	1.17721151255038	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs10489615,rs1532624,rs16942887,rs2925979,rs3136441,rs4660293,rs581080,rs643531,rs964184,rs9989419	19	GSM701493
1.041	0.692270672982149	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs13326165,rs1532624,rs247617,rs2925979,rs386000,rs4765127,rs4917014,rs643531,rs998584,rs9989419	20	GSM701507
1.674	1.09603710121202	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs1121980,rs16942887,rs17145738,rs2144300,rs3822072,rs471364,rs499974,rs643531,rs6805251,rs7240405,rs838880,rs9282541	21	GSM701500
-0.735	0.0821455294959585	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs17404153,rs2925979,rs998584	22	GSM530664
0.058	0.270401971005349	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs2925979,rs7120118,rs998584,rs9989419	23	GSM530658
-0.176	0.198886366153135	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs2925979,rs643531,rs998584	24	GSM530659
-1.272	0.0252078205029105	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs2925979	25	GSM595919
-0.365	0.153859958805256	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs261334,rs643531,rs7120118	26	GSM493386
0.668	0.505684448554749	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs247617,rs2925979,rs643531,rs6805251,rs7120118	27	GSM595917
0.875	0.601049726362862	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs12979813,rs13326165,rs2925979,rs643531,rs7120118,rs998584,rs9989419	28	GSM530660
0.852	0.603214402910783	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs261334,rs2925979,rs643531,rs7120118,rs9282541,rs998584	29	GSM493387
0.289	0.351125800276725	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs2925979,rs643531,rs7120118,rs998584	30	GSM493384
-0.395	0.148108273965413	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs13326165,rs2925979,rs643531,rs7120118,rs998584	31	GSM595918
-0.292	0.172465424051081	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs2925979,rs737337,rs9989419	32	GSM530652
0.871	0.621954828500072	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01549.DS12734.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs16942887,rs261334,rs2925979,rs4917014,rs643531,rs7120118,rs998584	33	GSM530657
0.070	0.274530582344203	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01562.DS13196.twopass.merge150.wgt10.zgt2.wig	rs10019888,rs13326165,rs1532624,rs17404153,rs2925979,rs6805251	34	GSM530663
