Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.961	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs6733011,rs2287921,rs4765913,rs6122972,rs7247513,rs11622475,rs7618915,rs7250872,rs703965,rs2314398	1	GSM816644
0.383	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3761218,rs2287921,rs683395,rs6746896,rs2070615,rs4332037,rs8099939,rs11622475,rs7618915,rs1035050,rs7250872,rs7578035	2	Lookup
2.352	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs17197037,rs3761218,rs2287921,rs683395,rs10982256,rs2070615,rs4948418,rs7618915,rs7250872,rs703965,rs2314398,rs7578035	3	Lookup
1.769	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs6494849,rs3761218,rs2287921,rs10994336,rs914715,rs4948418,rs7618915,rs7250872,rs703965,rs7578035	4	Lookup
0.585	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs17197037,rs3761218,rs2287921,rs914715,rs7618915,rs7250872,rs703965,rs7578035	5	Lookup
2.120	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs7897194,rs2070615,rs914715,rs11622475,rs17600642,rs4660531,rs7618915,rs7250872,rs703965,rs2289700	6	GSM816664
2.087	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs17197037,rs3761218,rs2287921,rs7618915,rs1035050,rs7250872,rs703965,rs2314398,rs7578035	7	GSM736607
1.525	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs17197037,rs3761218,rs2287921,rs2070615,rs7618915,rs7250872,rs2289700,rs7578035	8	GSM736558,GSM736635
0.538	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2287921,rs683395,rs2070615,rs7618915,rs7250872,rs7578035	9	GSM736525
2.481	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs17197037,rs3761218,rs2287921,rs683395,rs9371601,rs2070615,rs914715,rs7618915,rs7250872,rs2289700,rs7578035	10	GSM736512,GSM736561
3.219	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4627791,rs17197037,rs2242663,rs3761218,rs12938916,rs2287921,rs683395,rs10982256,rs2070615,rs12912251,rs914715,rs11622475,rs736408,rs7618915,rs7250872,rs703965,rs7578035	11	GSM816665,GSM736496,GSM736620
0.210	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2242663,rs3761218,rs1042779,rs2287921,rs2070615,rs7618915,rs7250872,rs703965,rs2289700,rs7578035	12	GSM816656
0.884	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs6733011,rs2242663,rs3761218,rs2287921,rs2070615,rs4332037,rs17600642,rs7618915,rs4770394,rs1035050,rs7250872,rs703965,rs2289700	13	GSM816657
1.109	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs10982256,rs2070615,rs914715,rs17600642,rs736408,rs7618915,rs7578035	14	GSM816653
2.085	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs1006737,rs1038094,rs2242663,rs3761218,rs2287921,rs4765913,rs41350144,rs6124684,rs11622475,rs4660531,rs7618915,rs7250872,rs703965,rs7578035	15	GSM816658
-0.460	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs8099939,rs7618915,rs7250872,rs703965	16	GSM816659
0.225	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3845817,rs2278702,rs3761218,rs2709736,rs2287921,rs2111504,rs7618915,rs7250872,rs703965,rs2289700,rs7578035	17	GSM816648
0.589	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs17197037,rs2287921,rs683395,rs7827290,rs1035050,rs7250872,rs2314398	18	GSM736626,GSM736595
1.895	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs17197037,rs514636,rs3761218,rs2287921,rs683395,rs914715,rs12618769,rs7618915,rs1035050,rs7250872,rs7578035	19	GSM736501,GSM736492
2.857	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3845817,rs4627791,rs2242663,rs3761218,rs12938916,rs2287921,rs7827290,rs271738,rs2070615,rs11622475,rs4948418,rs736408,rs544368,rs7618915,rs7250872,rs703965,rs2314398,rs7578035	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.085	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs17197037,rs3761218,rs2287921,rs683395,rs17040430,rs7618915,rs7250872,rs703965,rs2314398,rs7578035	21	GSM736604,GSM736529
2.061	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4627791,rs17197037,rs2242663,rs3761218,rs12938916,rs2287921,rs2070615,rs11622475,rs736408,rs7618915,rs7250872,rs703965,rs7578035	22	GSM736592,GSM1024760
0.772	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7226677,rs3761218,rs2287921,rs914715,rs7618915,rs7250872	23	GSM736502,GSM1024792
0.570	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs3761218,rs2287921,rs6122972,rs4948418,rs7250872,rs703965,rs2314398	24	GSM736583,GSM736505
1.970	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs4765913,rs6122972,rs7618915,rs7250872,rs703965,rs2314398	25	GSM816638
-0.457	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2287921,rs4765913,rs4948418,rs7250872,rs703965	26	GSM736509,GSM736554
2.275	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2242663,rs2287921,rs12912251,rs12618769,rs2111504,rs4948418,rs544368,rs7618915,rs7250872,rs703965	27	GSM1024745,GSM1024747
1.115	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs2111504,rs4948418,rs7618915,rs7250872,rs703965	28	GSM736609,GSM736523
1.201	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs2537859,rs12618769,rs2111504,rs4948418,rs7618915,rs7250872,rs703965	29	GSM736571,GSM736521
0.920	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs12618769,rs7618915,rs7250872	30	GSM736599,GSM736591
1.904	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs17418283,rs12618769,rs2111504,rs4948418,rs7618915,rs7250872,rs703965	31	GSM736577,GSM736573
1.839	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs3761218,rs2287921,rs12618769,rs2111504,rs4948418,rs7618915,rs7250872,rs703965	32	GSM736611,GSM736624
-0.541	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs2287921,rs2111504,rs4948418,rs7250872,rs703965	33	GSM736542,GSM736511
-0.161	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs2287921,rs12618769,rs7618915,rs7250872,rs703965	34	GSM736507,GSM736627
0.654	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2287921,rs12912251,rs17600642,rs2111504,rs4948418,rs7250872,rs703965	35	GSM1024763
1.647	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs17197037,rs2287921,rs4332037,rs6122972,rs7247513,rs4948418,rs7618915,rs7250872,rs703965,rs2314398	36	GSM736555,GSM736614
2.375	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4627791,rs2242663,rs3761218,rs12938916,rs2287921,rs216345,rs2070615,rs12618769,rs11622475,rs2111504,rs4948418,rs736408,rs7618915,rs7250872,rs703965,rs7578035	37	GSM816646,GSM736575,GSM736533
1.264	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs6494849,rs9995093,rs2242663,rs514636,rs3761218,rs2287921,rs2537859,rs10982256,rs2070615,rs12899449,rs7247513,rs17600642,rs7618915,rs1035050,rs7250872,rs703965	38	Lookup
-0.654	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2287921,rs17040430,rs7250872,rs703965	39	Lookup
2.494	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs2242663,rs3761218,rs2287921,rs7827290,rs2070615,rs4332037,rs6122972,rs7247513,rs4660531,rs736408,rs7618915,rs1035050,rs7250872,rs703965	40	GSM816668
1.505	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6494849,rs6458307,rs2242663,rs3761218,rs2287921,rs216345,rs2070615,rs289585,rs11622475,rs17600642,rs2953145,rs7618915,rs1035050,rs7250872,rs703965,rs2289700,rs2314398	41	GSM816636
-1.009	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs2287921,rs4765913,rs2314398	42	GSM736522,GSM736570
