Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.621	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4789580,rs11994937,rs16871226,rs4745661,rs10796849,rs2504183,rs16982515,rs10206020,rs10751776,rs722599,rs523516,rs7582701,rs586446,rs17038828,rs17348299,rs137686,rs7845056	1	GSM816644
1.144	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11188352,rs12342831,rs6084946,rs7159888,rs4789580,rs909814,rs11994937,rs7731390,rs2270788,rs16871226,rs7032871,rs12127944,rs2028414,rs7224668,rs2126200,rs2614463,rs16982515,rs10751776,rs6059594,rs3788556,rs722599,rs523516,rs9394438,rs6494964,rs10937705,rs10113903,rs9329350,rs16952065,rs1577330,rs11651000,rs12772243,rs7021663,rs17348299,rs909674,rs137686,rs7845056,rs1467979,rs12530,rs2280655	2	Lookup
0.552	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs626657,rs2361701,rs7159888,rs4789580,rs7781977,rs11994937,rs7731390,rs16871226,rs6583437,rs3213473,rs11781525,rs10065350,rs16982515,rs523516,rs12045693,rs7314811,rs7895244,rs4821897,rs10758189,rs17348299,rs909674,rs137686	3	Lookup
2.702	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs756777,rs7179432,rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs7731390,rs2841233,rs2270788,rs16871226,rs5757676,rs6583437,rs2504183,rs11781525,rs16982515,rs2745851,rs11260603,rs722599,rs523516,rs627386,rs7314811,rs2077147,rs10813957,rs7895244,rs137699,rs4821897,rs444881,rs11581667,rs10758189,rs137686	4	Lookup
1.784	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs7159888,rs4789580,rs7781977,rs2106139,rs11994937,rs7731390,rs16871226,rs5757676,rs2184180,rs6583437,rs11781525,rs10065350,rs10817408,rs16982515,rs2745851,rs10206020,rs10751776,rs1650123,rs11260603,rs523516,rs10813951,rs1436958,rs7314811,rs10813957,rs4821897,rs17348299,rs6421315,rs909674,rs137686	5	Lookup
1.222	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs756777,rs11188352,rs12342831,rs11779594,rs12580533,rs4789580,rs2106139,rs11994937,rs11774682,rs7224668,rs6065945,rs11781525,rs16982515,rs2745851,rs523516,rs10937705,rs12580240,rs4930561,rs4821897,rs10764775,rs1035275,rs10758189,rs17348299,rs137686,rs7845056,rs12530,rs10049992	6	GSM816664
0.283	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs6084946,rs7159888,rs4789580,rs11994937,rs16871226,rs2184180,rs7224668,rs10817408,rs16982515,rs1650123,rs523516,rs1672743,rs1058065,rs4821897,rs909674,rs137686,rs7661864	7	GSM736607
1.809	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs16982515,rs2745851,rs1650123,rs11260603,rs523516,rs627386,rs10937705,rs12528714,rs17348299,rs909674,rs137686,rs2659005	8	GSM736558,GSM736635
1.835	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11763760,rs756777,rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs16871226,rs5757676,rs6583437,rs16982515,rs2745851,rs1650123,rs523516,rs11820502,rs10937705,rs9329350,rs12528714,rs4821897,rs17348299,rs137686,rs7661864,rs2659005,rs3813009	9	GSM736525
1.480	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs7179432,rs12342831,rs10504390,rs7159888,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs16949825,rs16982515,rs2745851,rs1650123,rs523516,rs627386,rs7902627,rs10937705,rs8010715,rs4821897,rs17348299,rs909674,rs137686,rs1054052,rs2659005	10	GSM736512,GSM736561
1.295	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs756777,rs11188352,rs7179432,rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs2060070,rs11994937,rs7731390,rs16871226,rs4745661,rs12127944,rs6583437,rs8067912,rs10817408,rs16982515,rs2745851,rs1650123,rs523516,rs627386,rs7582701,rs10937705,rs7249142,rs2664299,rs1058065,rs7895244,rs9308433,rs4821897,rs13144232,rs17348299,rs909674,rs137686,rs1467979,rs2659005,rs10861342	11	GSM816665,GSM736496,GSM736620
0.452	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs626657,rs12342831,rs11779594,rs4076555,rs6084946,rs4789580,rs2106139,rs11994937,rs16871226,rs5757676,rs6583437,rs2028414,rs7224668,rs2919856,rs16982515,rs2745851,rs10751776,rs523516,rs4972806,rs11820502,rs139014,rs9329350,rs5764106,rs16952065,rs10508459,rs13178541,rs17348299,rs137686,rs7845056,rs738144,rs3763048	12	GSM816656
1.297	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs756777,rs626657,rs12342831,rs6084946,rs7159888,rs4789580,rs909814,rs11994937,rs7731390,rs2270788,rs5757676,rs2028414,rs2126200,rs16949825,rs3213473,rs16982515,rs2745851,rs11260603,rs3788556,rs523516,rs627386,rs4972806,rs12045693,rs9329350,rs12528714,rs5764106,rs10508459,rs11910494,rs13178541,rs11890081,rs1122979,rs17348299,rs1739654,rs909674,rs137686,rs7845056,rs1467979,rs9948784,rs12530	13	GSM816657
3.147	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs756777,rs11188352,rs12342831,rs6084946,rs2080501,rs7159888,rs4789580,rs11994937,rs16871226,rs16949825,rs16982515,rs2745851,rs2279913,rs10206020,rs4779031,rs11260603,rs722599,rs523516,rs627386,rs7652995,rs10937705,rs7314811,rs13174348,rs4821897,rs1122979,rs10758189,rs17348299,rs137686,rs1467979,rs2659005,rs9948784	14	GSM816653
2.081	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2186369,rs12342831,rs11779594,rs4076555,rs7159888,rs4789580,rs7781977,rs11994937,rs7731390,rs9947954,rs8067912,rs2028414,rs16949825,rs7209700,rs16982515,rs2745851,rs2279913,rs4779031,rs722599,rs523516,rs627386,rs9394438,rs10937705,rs10113903,rs4930561,rs139014,rs8010715,rs5764106,rs9308433,rs2514895,rs10764775,rs10758189,rs17348299,rs909674,rs137686,rs3763048,rs1467979,rs2659005,rs12530	15	GSM816658
0.146	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7179432,rs2186369,rs12342831,rs4789580,rs909814,rs11994937,rs2841233,rs6072161,rs16871226,rs4745661,rs8140172,rs2028414,rs16982515,rs2745851,rs3788556,rs523516,rs627386,rs871012,rs2664299,rs5764106,rs4821897,rs10758189,rs17348299,rs137686,rs7845056,rs2659005	16	GSM816659
1.976	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1386809,rs12342831,rs11779594,rs4789580,rs7781977,rs2106139,rs11847263,rs11994937,rs4745661,rs2028414,rs16949825,rs3213473,rs6065945,rs10817408,rs16982515,rs2530545,rs2745851,rs2279913,rs1650123,rs4779031,rs722599,rs523516,rs10937705,rs2937550,rs586446,rs2077147,rs5764106,rs6064045,rs9308433,rs11079764,rs2093746,rs11910494,rs13178541,rs10758189,rs17348299,rs909674,rs137686,rs7845056,rs3763048,rs1467979,rs2659005	17	GSM816648
-0.459	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2361701,rs7159888,rs7781977,rs2106139,rs11994937,rs16871226,rs6583437,rs10817408,rs16982515,rs523516,rs7314811,rs10813957,rs1058065,rs1122979,rs17348299,rs6421315,rs2200578,rs137686,rs2659005	18	GSM736626,GSM736595
1.229	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs11779594,rs6102185,rs4789580,rs7781977,rs11994937,rs16871226,rs2184180,rs6583437,rs2504183,rs3213473,rs16982515,rs2745851,rs10206020,rs4832928,rs523516,rs10937705,rs1436958,rs10131728,rs7314811,rs13072512,rs7160685,rs6421315,rs137686,rs2659005	19	GSM736501,GSM736492
0.512	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs756777,rs11188352,rs7179432,rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs2060070,rs11994937,rs7731390,rs16871226,rs4745661,rs12127944,rs6583437,rs8067912,rs2504183,rs11781525,rs10817408,rs16982515,rs2745851,rs4832928,rs523516,rs627386,rs7582701,rs11820502,rs10937705,rs1436958,rs2664299,rs4821897,rs13144232,rs17348299,rs909674,rs137686,rs11700462,rs7661864,rs1467979,rs2659005	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.683	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs1339738,rs12342831,rs7159888,rs4789580,rs7781977,rs2106139,rs11994937,rs16871226,rs2184180,rs6583437,rs16982515,rs10751776,rs6059594,rs523516,rs7314811,rs10758189,rs17348299,rs4866334,rs6421315,rs137686,rs7661864	21	GSM736604,GSM736529
1.476	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs756777,rs11188352,rs7179432,rs12342831,rs11779594,rs4789580,rs7781977,rs2060070,rs11994937,rs7731390,rs2841233,rs16871226,rs4745661,rs12127944,rs6583437,rs8067912,rs10817408,rs16982515,rs2745851,rs10751776,rs11260603,rs523516,rs627386,rs7582701,rs7902627,rs10937705,rs2664299,rs4821897,rs13144232,rs17348299,rs6421315,rs909674,rs137686,rs1467979,rs2659005	22	GSM736592,GSM1024760
1.175	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs7159888,rs7781977,rs11994937,rs6583437,rs2028414,rs16884711,rs10065350,rs16982515,rs10751776,rs11260603,rs722599,rs523516,rs7902627,rs10937705,rs139014,rs17348299,rs6421315,rs137686	23	GSM736502,GSM1024792
-1.401	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs27323,rs4789580,rs11994937,rs16871226,rs16982515,rs10206020,rs523516,rs6687262,rs17776120,rs17038828,rs17348299,rs137686,rs11700462	24	GSM736583,GSM736505
