Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.745	0.3992403386435	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10275044	1	GSM816644
2.723	1.43202625467804	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10275044,rs11868441,rs6026584	2	Lookup
2.274	1.07191584793855	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2049805,rs6026584	3	Lookup
3.344	1.74140608664223	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10275044,rs2049805,rs6026584	4	Lookup
1.800	0.866117801317752	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10275044,rs11123170	5	Lookup
-0.735	9.64327466553287e-17	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.866	0.431738691531157	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs6026584	7	GSM736607
-0.605	4.34294517858653e-11	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.659	0.379565359422274	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs6026584	9	GSM736525
0.602	0.359497751580124	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs6026584	10	GSM736512,GSM736561
3.432	1.94092537587899	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10275044,rs2049805,rs2074356,rs6026584	11	GSM816665,GSM736496,GSM736620
1.936	0.928145113022765	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2074356,rs6026584	12	GSM816656
-0.837	0	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
