Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.119	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6857559,rs999556,rs12032643	1	GSM816644
-0.252	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1559777,rs872863,rs999556,rs4792192,rs12032643	2	Lookup
0.228	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs999556,rs17826255,rs12032643,rs7323755	3	Lookup
-0.254	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs999556,rs7215564,rs12032643	4	Lookup
0.862	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs9984974,rs999556,rs7215564,rs12032643,rs7323755	5	Lookup
1.517	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6857559,rs999556,rs7215564,rs10274279,rs923375,rs12032643	6	GSM816664
0.751	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs999556,rs17826255,rs6841898,rs12032643	7	GSM736607
-0.217	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12032643	8	GSM736558,GSM736635
-0.625	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12032643	9	GSM736525
-0.084	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs999556,rs6841898,rs12032643	10	GSM736512,GSM736561
0.260	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4683505,rs999556,rs2267138,rs6841898,rs12032643,rs17103138	11	GSM816665,GSM736496,GSM736620
0.225	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12038826,rs2267138,rs12032643,rs248471	12	GSM816656
0.588	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs16872571,rs999556,rs2267138,rs12032643,rs1944866,rs804280	13	GSM816657
0.266	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12032643,rs1944866,rs804280	14	GSM816653
1.495	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7839488,rs4557020,rs7215564,rs3786800,rs12032643,rs17103138,rs248471	15	GSM816658
-0.306	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12032643,rs1472750	16	GSM816659
-0.665	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12038826,rs12032643,rs1944866	17	GSM816648
1.952	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs9984974,rs999556,rs17826255,rs6841898,rs12032643,rs7323755,rs8039584	18	GSM736626,GSM736595
0.181	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs7215564,rs12032643,rs2730260,rs7323755	19	GSM736501,GSM736492
-0.128	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4683505,rs999556,rs2267138,rs17826255,rs12032643,rs17103138	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.197	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs4557020,rs999556,rs4792192,rs11618212,rs17826255,rs12032643,rs7323755	21	GSM736604,GSM736529
1.279	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs872863,rs4683505,rs999556,rs7215564,rs2267138,rs12032643,rs17103138	22	GSM736592,GSM1024760
0.473	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs999556,rs7215564,rs12032643	23	GSM736502,GSM1024792
1.757	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs12032643,rs7323755,rs1472750,rs577948	24	GSM736583,GSM736505
0.437	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs999556,rs12032643,rs1472750,rs577948	25	GSM816638
1.074	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs6857559,rs999556,rs12032643,rs7323755,rs16862782,rs577948	26	GSM736509,GSM736554
2.270	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs7215564,rs12032643,rs7323755,rs4149311,rs577948	27	GSM1024745,GSM1024747
1.797	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs12032643,rs7323755,rs4149311,rs577948	28	GSM736609,GSM736523
1.134	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs12032643,rs7323755,rs4149311,rs577948	29	GSM736571,GSM736521
2.598	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs189798,rs1656966,rs999556,rs9318086,rs12032643,rs4149311	30	GSM736599,GSM736591
2.966	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs9505270,rs9318086,rs12032643,rs7323755,rs4149311,rs577948	31	GSM736577,GSM736573
0.775	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs9318086,rs12032643	32	GSM736611,GSM736624
1.531	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs189798,rs1656966,rs999556,rs12032643,rs7323755,rs4149311	33	GSM736542,GSM736511
0.645	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs12032643,rs804280	34	GSM736507,GSM736627
0.432	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs189798,rs6968355,rs12032643,rs577948	35	GSM1024763
0.780	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs189798,rs999556,rs12032643,rs7323755,rs577948	36	GSM736555,GSM736614
0.614	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs189798,rs4683505,rs999556,rs2267138,rs12032643,rs7323755,rs17103138	37	GSM816646,GSM736575,GSM736533
-1.450	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6857559,rs872863,rs17788937	38	Lookup
-0.800	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs872863,rs12032643	39	Lookup
1.217	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6857559,rs999556,rs7215564,rs4792192,rs11618212,rs12032643,rs4149311	40	GSM816668
