Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.946	1.4600848908209	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4765913,rs7618915	1	GSM816644
-0.339	0.120660873687056	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7618915	2	Lookup
0.318	0.270288252189634	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7618915	3	Lookup
2.705	1.35252883304537	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10994336,rs2271893,rs7618915	4	Lookup
1.398	0.678852828138793	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	5	Lookup
1.290	0.658364290739933	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	6	GSM816664
1.820	0.862852573028206	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	7	GSM736607
0.507	0.323126661837714	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs7618915	8	GSM736558,GSM736635
1.879	0.898624757425458	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	9	GSM736525
1.662	0.831214432613667	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	10	GSM736512,GSM736561
0.883	0.488062948709245	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	11	GSM816665,GSM736496,GSM736620
0.873	0.460369594019498	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	12	GSM816656
0.706	0.399552623162201	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	13	GSM816657
1.516	0.726685533211949	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	14	GSM816653
2.023	1.0342676322056	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4765913,rs7618915	15	GSM816658
1.122	0.576436646185096	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	16	GSM816659
-0.207	0.145040285599531	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7618915	17	GSM816648
0.245	0.249858561474124	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2271893	18	GSM736626,GSM736595
0.377	0.288554214276071	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs7618915	19	GSM736501,GSM736492
0.789	0.458467420507297	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.679	0.821031404758968	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	21	GSM736604,GSM736529
1.059	0.538571802202711	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	22	GSM736592,GSM1024760
1.882	0.892885804880901	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	23	GSM736502,GSM1024792
-0.846	4.3429403569492e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
3.127	1.66650690632576	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4765913,rs7618915	25	GSM816638
1.489	0.751006108618855	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs4765913	26	GSM736509,GSM736554
1.632	0.81203320334996	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	27	GSM1024745,GSM1024747
1.793	0.865027359138959	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	28	GSM736609,GSM736523
1.434	0.714099519748996	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	29	GSM736571,GSM736521
2.169	1.04506792939314	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	30	GSM736599,GSM736591
1.891	0.886086260570874	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	31	GSM736577,GSM736573
1.794	0.862852573028206	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	32	GSM736611,GSM736624
-0.886	4.3429403569492e-11	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
0.399	0.296044620829194	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs7618915	34	GSM736507,GSM736627
0.290	0.262482716827656	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2271893	35	GSM1024763
0.370	0.290295303127962	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs7618915	36	GSM736555,GSM736614
0.813	0.464214180755869	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	37	GSM816646,GSM736575,GSM736533
0.408	0.319306025276511	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	38	Lookup
0.414	0.299655516792431	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs2271893	39	Lookup
1.049	0.564682577493657	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	40	GSM816668
-0.386	0.114187013425414	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7618915	41	GSM816636
0.531	0.333957579653984	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs4765913	42	GSM736522,GSM736570
0.958	0.45238925314724	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs7618915	43	GSM1008585
0.029	0.196360427635879	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs7618915	44	GSM736594,GSM736535
0.792	0.457991765495004	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	45	GSM816669,GSM736634,GSM736552
0.668	0.381462461822419	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs7618915	46	GSM736628,GSM736541
0.818	0.472010252661985	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.116	0.596947877179694	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2271893,rs7618915	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
