Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.120	0.968169748604486	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	1	GSM816644
1.289	0.603543281853729	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	2	Lookup
2.219	0.99591209730597	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	3	Lookup
1.984	0.925726894409593	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	4	Lookup
3.223	1.58306831015423	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11191454,rs2535629,rs2799573	5	Lookup
1.865	0.86721028296298	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	6	GSM816664
0.761	0.396536773139427	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2535629	7	GSM736607
0.865	0.426421496332897	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2535629	8	GSM736558,GSM736635
0.709	0.381462461822419	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2535629	9	GSM736525
3.661	1.84618982301349	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573,rs9371601	10	GSM736512,GSM736561
1.337	0.656877895524985	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	11	GSM816665,GSM736496,GSM736620
1.350	0.631590299106385	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	12	GSM816656
1.162	0.556208557727543	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs7914558	13	GSM816657
1.924	0.895174735354961	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	14	GSM816653
2.776	1.31585314061983	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1006737,rs2535629,rs2799573	15	GSM816658
1.652	0.770910132479892	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	16	GSM816659
1.223	0.635829547813263	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	17	GSM816648
0.640	0.360083760436294	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2535629	18	GSM736626,GSM736595
2.028	0.944087020455705	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	19	GSM736501,GSM736492
1.114	0.572695059347447	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.176	1.023526926276	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2535629,rs2799573	21	GSM736604,GSM736529
