Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.498	4.82163733276643e-17	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
2.900	1.32696563087288	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100,rs4624820	2	Lookup
-0.468	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.561	4.34294517858653e-11	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.539	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
1.626	0.663055787389348	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	6	GSM816664
-0.435	4.34295000022386e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.392	4.34295000022386e-11	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.496	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
1.586	0.672973880663045	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs3782181	10	GSM736512,GSM736561
-0.638	4.82163733276643e-17	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
-0.541	0	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
1.291	0.552458888445509	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	13	GSM816657
-0.509	4.82163733276643e-17	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.319	0.579448966830264	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	15	GSM816658
-0.541	4.34294517858653e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
2.704	1.25435503473797	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100,rs4624820	17	GSM816648
-0.488	4.34294517858653e-11	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
1.633	0.65981393511096	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4635969	19	GSM736501,GSM736492
-0.779	0	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig		20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.514	4.82163733276643e-17	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.597	4.34294517858653e-11	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig		22	GSM736592,GSM1024760
-0.419	8.68588553597002e-11	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-0.514	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.484	0	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.587	4.34294517858653e-11	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
1.708	0.69905132164711	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs3782181	27	GSM1024745,GSM1024747
1.613	0.65182344357192	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs3782181	28	GSM736609,GSM736523
1.275	0.553634507922993	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs3782181	29	GSM736571,GSM736521
2.152	0.824758370519505	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs3782181	30	GSM736599,GSM736591
1.742	0.69905132164711	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs3782181	31	GSM736577,GSM736573
1.819	0.725221650594779	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs3782181	32	GSM736611,GSM736624
1.364	0.595149174395285	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs3782181	33	GSM736542,GSM736511
1.690	0.691905667354819	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs3782181	34	GSM736507,GSM736627
1.499	0.637895587216724	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs3782181	35	GSM1024763
-0.533	0	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
0.910	0.438823797555509	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs3782181	37	GSM816646,GSM736575,GSM736533
0.867	0.426022294276137	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100	38	Lookup
-0.527	4.3429403569492e-11	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-0.597	0	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
0.855	0.427590864723895	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	41	GSM816636
-0.503	4.34294517858653e-11	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
-0.268	4.82163733276643e-17	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
1.140	0.524258802511997	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs3782181	44	GSM736594,GSM736535
0.983	0.464439696486626	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs3782181	45	GSM816669,GSM736634,GSM736552
-0.462	4.3429403569492e-11	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
-0.680	0	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig		47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.582	4.82163733276643e-17	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.383	0.599191100200186	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4624820	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-0.568	4.34294517858653e-11	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig		50	GSM736586,GSM736538
-0.707	0	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig		51	GSM816633,GSM816643,GSM736564,GSM736510
1.622	0.68839082187295	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100	52	GSM816633,GSM816643,GSM736564,GSM736510
-0.220	0	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig		53	GSM736500,GSM736587
-0.449	0	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig		54	GSM736600,GSM736493
-0.538	0	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig		55	GSM736534,GSM736491
-0.507	0	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig		56	GSM736613,GSM736526,GSM736613,GSM736526
2.589	1.27233739088535	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs3782181,rs4624820	57	GSM736613,GSM736526,GSM736613,GSM736526
0.948	0.453072041890511	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs3782181	58	GSM816649,GSM736580,GSM736506
-0.517	4.82163733276643e-17	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig		59	GSM736631,GSM736606
-0.527	4.82163733276643e-17	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig		60	GSM736569,GSM736597
1.432	0.611613564019278	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs3782181	61	GSM736585,GSM736532
-0.544	0	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig		62	GSM736589,GSM736615
1.302	0.596493819973878	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs3782181	63	GSM736621,GSM736550
1.395	0.611613564019278	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs3782181	64	GSM736632,GSM736528
-0.454	4.34294517858653e-11	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig		65	GSM736549,GSM736557
-0.488	4.34294517858653e-11	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig		66	GSM736527,GSM736548
-0.541	0	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig		67	GSM736630,GSM736623
-0.656	4.82163733276643e-17	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		68	GSM816647
-0.475	0	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig		69	GSM736543,GSM736539
1.516	0.65340896440539	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs3782181	70	GSM736608,GSM736617
-0.674	0	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig		71	Lookup
-0.573	4.3429403569492e-11	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig		72	Lookup
-0.478	4.34294517858653e-11	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		73	GSM816629
-0.462	4.3429403569492e-11	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig		74	GSM736547,GSM736515
-0.588	4.82163733276643e-17	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig		75	GSM736495,GSM736636
1.021	0.487583184121568	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100	76	GSM816628
-0.566	0	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig		77	GSM736602,GSM736572
1.146	0.528610608170977	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs3782181	78	GSM736524,GSM736605
-0.432	0	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig		79	GSM736531,GSM736619
