Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.019	0.196317300675513	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12413409	1	GSM816644
0.199	0.268126561805161	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs6841581	2	Lookup
0.815	0.490881126404252	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4714955,rs579459	3	Lookup
0.790	0.470540333156437	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs12190287	4	Lookup
0.637	0.416923347304438	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12190287,rs579459	5	Lookup
1.825	0.987195963829304	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs12190287,rs899997	6	GSM816664
-0.959	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.921	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-1.068	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.022	0.186357194912542	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs6841581	10	GSM736512,GSM736561
-0.651	0.0717991516355605	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs964184	11	GSM816665,GSM736496,GSM736620
2.212	1.18794164412694	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11556924,rs6841581,rs899997	12	GSM816656
1.942	1.06282981561911	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11556924,rs579459,rs899997	13	GSM816657
-1.064	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.351	0.736481944900426	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs12190287,rs899997	15	GSM816658
