Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.817	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs12595668	1	GSM816644
4.702	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs267567,rs3733017,rs3103778,rs1994318,rs251253,rs3922844	2	Lookup
1.031	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs3103778	3	Lookup
0.837	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs3103778	4	Lookup
0.869	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs6801957	5	Lookup
1.040	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs267567,rs3733017	6	GSM816664
1.419	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs1524976	7	GSM736607
0.645	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs251253	8	GSM736558,GSM736635
2.285	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs3103778,rs251253	9	GSM736525
1.124	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs251253	10	GSM736512,GSM736561
2.695	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs3103778,rs4944092,rs251253	11	GSM816665,GSM736496,GSM736620
2.770	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs3103778,rs1994318	12	GSM816656
3.349	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs267567,rs3733017,rs3103778,rs251253,rs3922844	13	GSM816657
2.265	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs3922844	14	GSM816653
0.746	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs3103778	15	GSM816658
1.806	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs3103778	16	GSM816659
3.091	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs3103778,rs1524976,rs3922844	17	GSM816648
1.113	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs3103778	18	GSM736626,GSM736595
-0.494	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs3733017	19	GSM736501,GSM736492
4.574	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs1994318,rs4944092,rs3807989,rs1524976,rs251253,rs6801957	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.176	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs3733017	21	GSM736604,GSM736529
3.285	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs6763048,rs3733017,rs1994318,rs4944092,rs251253	22	GSM736592,GSM1024760
1.788	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs1994318	23	GSM736502,GSM1024792
3.441	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs3733017,rs11732231,rs1994318,rs12595668,rs6801957	24	GSM736583,GSM736505
