Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
3.082	2.18199124850022	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs10985070,rs11889341,rs1950897,rs227163,rs2476601,rs3087243,rs660895,rs726288,rs881375,rs947474,rs968567	1	GSM701525
4.004	3.20564602672877	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs1043099,rs10488631,rs1950897,rs2233424,rs2582532,rs26232,rs2841277,rs3093023,rs4239702,rs615672,rs660895,rs6715284,rs71508903,rs947474,rs998731	2	GSM701526
1.435	0.91786715107042	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs11089637,rs1950897,rs2233424,rs3806624,rs660895,rs881375,rs947474,rs968567	3	GSM665837
1.815	1.20263117231293	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs11089637,rs1950897,rs2233424,rs3087243,rs3093023,rs3806624,rs660895,rs6859219,rs73013527,rs881375,rs909685,rs947474,rs968567	4	GSM701516
4.077	3.35614637847302	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs10985070,rs11089637,rs13330176,rs1950897,rs26232,rs3087243,rs3093023,rs3806624,rs4305317,rs615672,rs660895,rs6859219,rs706778,rs71508903,rs7752903,rs8032939,rs881375,rs947474,rs968567	5	GSM701489
3.181	2.32799163442811	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs10985070,rs13017599,rs13330176,rs2075876,rs2228145,rs2233424,rs3087243,rs3806624,rs660895,rs678347,rs6859219,rs881375,rs947474,rs968567	6	GSM701491
2.833	2.06300693334727	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs10985070,rs13330176,rs2233424,rs26232,rs2736337,rs3093023,rs4305317,rs4409785,rs660895,rs8032939,rs881375,rs947474,rs968567	7	GSM665812
4.070	3.26999005024035	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs10985070,rs11089637,rs13330176,rs1950897,rs26232,rs2847297,rs3087243,rs3783782,rs660895,rs6859219,rs706778,rs71508903,rs881375,rs947474,rs968567	8	GSM665839
2.197	1.49217646826226	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs11089637,rs11889341,rs2233424,rs2240335,rs227163,rs660895,rs6859219,rs706778,rs73013527,rs8026898,rs881375,rs909685,rs947474,rs968567	9	GSM817166
2.284	1.47212120502976	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10175798,rs13330176,rs2233424,rs34536443,rs657075,rs660895,rs6715284,rs6859219,rs881375,rs909685,rs947474,rs968567	10	GSM701539
