Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.170	0.226126569427961	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779	1	GSM816644
0.389	0.30976264525586	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1780324,rs9467160	2	Lookup
0.090	0.207426643894493	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4962153	3	Lookup
0.072	0.202463458967745	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs4820599	4	Lookup
1.063	0.575499383046787	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs4820599	5	Lookup
0.067	0.201317065097314	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4820599	6	GSM816664
1.539	0.765335606180952	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4820599,rs657152	7	GSM736607
0.466	0.310180609512221	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs4820599	8	GSM736558,GSM736635
0.293	0.258518703706742	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10761779	9	GSM736525
0.295	0.260067776234332	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1169313	10	GSM736512,GSM736561
0.695	0.416197674204289	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11597390,rs9467160	11	GSM816665,GSM736496,GSM736620
0.560	0.373172998009159	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs4820599	12	GSM816656
1.327	0.687728612688503	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11597390,rs1169313,rs4820599	13	GSM816657
-1.010	4.82163733276643e-17	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
0.628	0.383460615595124	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4820599,rs4962153	15	GSM816658
2.860	1.64340572501575	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390,rs4820599,rs4962153	16	GSM816659
0.502	0.357916181826013	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4820599,rs4962153	17	GSM816648
-1.006	0	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.907	4.3429403569492e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.550	0.372394724686064	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11597390,rs657152	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.297	0.263599360629922	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs9467160	21	GSM736604,GSM736529
-0.264	0.128853510849107	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11597390	22	GSM736592,GSM1024760
-0.855	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
0.404	0.294157224719911	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs10761779	24	GSM736583,GSM736505
1.779	0.88009923210538	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs4962153	25	GSM816638
0.242	0.24615267888065	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10761779	26	GSM736509,GSM736554
1.387	0.707715608027256	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	27	GSM1024745,GSM1024747
1.563	0.802421448536339	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	28	GSM736609,GSM736523
1.254	0.657193684277556	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	29	GSM736571,GSM736521
2.036	0.991783738775088	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	30	GSM736599,GSM736591
1.491	0.757113198489543	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	31	GSM736577,GSM736573
1.528	0.790751793642588	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	32	GSM736611,GSM736624
1.466	0.769951854673495	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	33	GSM736542,GSM736511
1.485	0.755304193537045	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	34	GSM736507,GSM736627
2.377	1.2907060983525	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390,rs657152	35	GSM1024763
1.454	0.76166164073601	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	36	GSM736555,GSM736614
0.716	0.436462836925424	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390	37	GSM816646,GSM736575,GSM736533
2.866	1.71325537469707	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs11597390,rs1169313,rs4820599,rs4962153	38	Lookup
0.247	0.248714172820506	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs4820599	39	Lookup
0.783	0.461750092103657	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10761779,rs4962153	40	GSM816668
0.447	0.330355410940601	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1169313,rs4820599	41	GSM816636
-0.736	4.34294517858653e-11	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
