Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.043	0.203920608530758	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11898505	1	GSM816644
0.412	0.339369995903928	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11898505,rs7524102	2	Lookup
0.077	0.212020083663249	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2016266	3	Lookup
1.090	0.583737058143059	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11898505,rs9533090	4	Lookup
-0.083	0.173231115706705	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11898505	5	Lookup
-1.117	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.948	8.68589035760736e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
0.578	0.347005732434553	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs9533090	8	GSM736558,GSM736635
0.179	0.238161341385533	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs9533090	9	GSM736525
1.215	0.648972682566413	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4870044,rs9533090	10	GSM736512,GSM736561
0.421	0.340358825146177	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs599083,rs6696981	11	GSM816665,GSM736496,GSM736620
1.557	0.815117340052012	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11898505,rs2016266,rs6696981	12	GSM816656
-0.428	0.109877685445243	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11898505	13	GSM816657
-1.016	8.68589517924469e-11	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
0.626	0.414579434097436	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11898505,rs2016266	15	GSM816658
