Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.501	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs8040868	1	GSM816644
-0.086	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs2544527,rs2027760,rs8040868	2	Lookup
-1.033	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs8040868	3	Lookup
0.950	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2277027,rs2027760,rs8040868,rs3003429	4	Lookup
-0.390	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs8040868	5	Lookup
0.840	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs2798641,rs8040868	6	GSM816664
-0.653	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2798641	7	GSM736607
0.360	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs2027760	8	GSM736558,GSM736635
0.749	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2277027,rs11001819,rs2027760	9	GSM736525
-0.693	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2027760	10	GSM736512,GSM736561
0.802	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs16909898,rs10751226,rs2284746,rs2027760,rs8040868	11	GSM816665,GSM736496,GSM736620
1.372	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2206030,rs2284746,rs2027760,rs8040868,rs12447804	12	GSM816656
1.196	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2206030,rs2571445,rs2284746,rs2027760,rs8040868,rs12447804	13	GSM816657
2.001	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2571445,rs2027760,rs1980057,rs8040868,rs12447804	14	GSM816653
0.251	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2571445,rs2027760,rs8089099,rs8040868	15	GSM816658
1.328	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7594321,rs2284746,rs2027760,rs8040868,rs12447804	16	GSM816659
-0.607	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2027760,rs7068966,rs8040868	17	GSM816648
-0.218	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1036429,rs2284746	18	GSM736626,GSM736595
-0.008	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2078543,rs8040868	19	GSM736501,GSM736492
1.207	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2078543,rs1036429,rs10751226,rs2284746,rs2027760,rs8040868	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.179	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2027760,rs8040868	21	GSM736604,GSM736529
0.445	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10751226,rs2284746,rs2027760,rs8040868	22	GSM736592,GSM1024760
-0.473	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs8040868	23	GSM736502,GSM1024792
4.366	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs12477314,rs2798641,rs2027760,rs7068966,rs8040868	24	GSM736583,GSM736505
3.094	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs2798641,rs2027760,rs7068966,rs8040868	25	GSM816638
3.520	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs11172113,rs2078543,rs2798641,rs2027760,rs1980057,rs3817928,rs8040868	26	GSM736509,GSM736554
-0.259	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs1980057	27	GSM1024745,GSM1024747
1.945	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs2865531,rs10777288,rs2284746,rs1980057,rs3817928	28	GSM736609,GSM736523
1.589	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966,rs1980057,rs3817928,rs8040868	29	GSM736571,GSM736521
1.019	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966,rs1980057	30	GSM736599,GSM736591
1.222	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966,rs1980057,rs3817928	31	GSM736577,GSM736573
1.381	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966,rs1980057,rs8040868	32	GSM736611,GSM736624
1.136	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10777288,rs1980057,rs3817928,rs8040868	33	GSM736542,GSM736511
2.174	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966,rs12899618,rs1980057,rs3817928	34	GSM736507,GSM736627
2.009	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs12477314,rs1980057,rs3817928,rs8040868,rs3003429	35	GSM1024763
2.146	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs2798641,rs2027760,rs8040868	36	GSM736555,GSM736614
