Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.322	0.268436155410073	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2413450	1	GSM816644
2.331	1.35139765590857	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10224002,rs16926246,rs2413450,rs9483788	2	Lookup
0.246	0.245578417679401	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562	3	Lookup
0.300	0.259225547445866	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562	4	Lookup
-0.929	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-1.071	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.546	0.33562497488404	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs16926246	7	GSM736607
2.227	1.07652352864713	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs9483788	8	GSM736558,GSM736635
0.524	0.331286657396812	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs9483788	9	GSM736525
0.531	0.33562497488404	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs9483788	10	GSM736512,GSM736561
-0.112	0.156152481795001	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs9483788	11	GSM816665,GSM736496,GSM736620
-0.363	0.107974842874404	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9483788	12	GSM816656
0.375	0.306498299959707	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10224002,rs9483788	13	GSM816657
0.290	0.260798865228657	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2413450	14	GSM816653
-0.251	0.129112179573097	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11065987	15	GSM816658
-1.120	4.82163733276643e-17	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-0.287	0.11952596390773	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10224002	17	GSM816648
-0.919	0	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.798	4.34294517858653e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.784	0.472531392282822	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs9483788	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.431	0.302916736172987	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs16926246	21	GSM736604,GSM736529
1.003	0.555549655123963	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs9483788	22	GSM736592,GSM1024760
2.118	1.02500245208795	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs16926246,rs9483788	23	GSM736502,GSM1024792
-0.736	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.770	4.34293553531186e-11	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.794	4.82163733276643e-17	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
