Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.751	0.498729633339894	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12413409,rs12740374,rs1333042,rs2123536	1	GSM816644
0.041	0.256398083918598	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs1231206,rs17609940,rs3739998,rs46522	2	Lookup
-0.022	0.227138369270763	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs579459,rs7136259	3	Lookup
1.620	0.955169691900395	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs1122608,rs12190287,rs1412444,rs3729639,rs3739998	4	Lookup
1.436	0.869805418165199	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12190287,rs12740374,rs1412444,rs3739998,rs4773144,rs579459	5	Lookup
1.114	0.68179799940994	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs1122608,rs12190287,rs17609940,rs3739998	6	GSM816664
-1.712	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.773	0.0563347313609451	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs3739998	8	GSM736558,GSM736635
0.187	0.289895333742902	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs3729639,rs3739998	9	GSM736525
0.133	0.273901102996892	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs3739998,rs46522	10	GSM736512,GSM736561
0.586	0.459564921636536	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs12740374,rs1412444,rs17609940,rs3739998,rs964184	11	GSM816665,GSM736496,GSM736620
0.961	0.6189106880735	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11556924,rs12740374,rs17609940,rs3739998,rs4773144	12	GSM816656
2.191	1.39087889772186	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs1122608,rs11556924,rs11669133,rs1412444,rs17609940,rs2123536,rs3739998,rs579459	13	GSM816657
0.049	0.247417074603447	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12740374,rs2123536,rs3739998	14	GSM816653
0.969	0.633669043561046	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12190287,rs17609940,rs2123536,rs3729639,rs3739998,rs4773144	15	GSM816658
-0.947	0.0526550911997258	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs3739998	16	GSM816659
0.742	0.51054052647277	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11669133,rs17114036,rs17609940,rs2505083,rs3739998	17	GSM816648
1.029	0.656780042441294	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12740374,rs1412444,rs3739998,rs46522,rs964184	18	GSM736626,GSM736595
-0.655	0.0860834230634253	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs3729639,rs3739998	19	GSM736501,GSM736492
1.213	0.776444174658329	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs12413409,rs12740374,rs1412444,rs17609940,rs3729639,rs3739998,rs579459	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.744	0.510171771387137	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12740374,rs1412444,rs3739998,rs964184	21	GSM736604,GSM736529
0.424	0.386055395214013	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11066015,rs12740374,rs1412444,rs17609940,rs3739998	22	GSM736592,GSM1024760
-0.119	0.19203631314799	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs3729639,rs3739998	23	GSM736502,GSM1024792
0.262	0.314641483890174	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1333042,rs1746048,rs4773144	24	GSM736583,GSM736505
-0.310	0.144937030596351	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12413409,rs1333042	25	GSM816638
0.960	0.623023154479941	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1231206,rs12740374,rs1333042,rs4773144,rs944797	26	GSM736509,GSM736554
0.130	0.271285593880574	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs3739998,rs4773144	27	GSM1024745,GSM1024747
0.225	0.300121021150308	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs17114036,rs3739998,rs4773144	28	GSM736609,GSM736523
-0.226	0.174951578419903	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs17114036,rs3739998,rs4773144	29	GSM736571,GSM736521
1.428	0.817811791576936	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs3729639,rs4773144,rs579459	30	GSM736599,GSM736591
