Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.618	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs4760636,rs4970988,rs606458,rs17632159	1	GSM701525
0.876	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs2195525,rs1035942,rs4760636,rs4970988,rs606458	2	GSM701526
2.250	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs1260326,rs7193778,rs2195525,rs4760636,rs4970988,rs606458,rs17632159	3	GSM665837
2.285	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs478607,rs7193778,rs642803,rs675209,rs2195525,rs1035942,rs4760636,rs10480300,rs4970988,rs606458,rs17632159	4	GSM701516
0.354	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs2195525,rs1035942,rs4760636,rs4970988,rs606458,rs17632159	5	GSM701489
0.436	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs2195525,rs1035942,rs4760636,rs4970988,rs606458	6	GSM701491
0.073	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs2195525,rs4760636,rs4970988,rs606458	7	GSM665812
0.894	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs2195525,rs4760636,rs4970988,rs606458,rs17632159	8	GSM665839
-0.583	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs4149178,rs4760636,rs4970988,rs606458	9	GSM817166
0.815	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs1260326,rs11264341,rs2195525,rs4760636,rs4970988,rs606458	10	GSM701539
1.166	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs4149178,rs11264341,rs1035942,rs4760636,rs4970988,rs606458,rs17632159	11	GSM817160
