Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.223	0.022721966869315	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7085104	1	GSM816644
0.633	0.453824013729965	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11038167,rs1635,rs2373000,rs2949006,rs7085104,rs778371	2	Lookup
0.020	0.23861657521993	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12807809,rs13194053,rs2949006	3	Lookup
-0.179	0.18713577346097	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10489202,rs13194053,rs2949006	4	Lookup
-0.280	0.164637044386337	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2269372,rs2949006,rs6932590	5	Lookup
-1.275	0.016744071527365	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs778371	6	GSM816664
0.238	0.301626879934394	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12991836,rs2269372,rs2949006	7	GSM736607
-0.152	0.183322711426745	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10489202,rs2949006	8	GSM736558,GSM736635
-1.034	0.035720142478219	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2949006	9	GSM736525
-0.446	0.119545103044843	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2373000,rs2949006	10	GSM736512,GSM736561
-1.288	0.0272000414363519	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10489202,rs2949006	11	GSM816665,GSM736496,GSM736620
-0.790	0.0769440133800489	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2949006,rs7085104,rs778371	12	GSM816656
0.046	0.255753136078907	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12666575,rs4687552,rs7085104,rs778371,rs7914558	13	GSM816657
-1.264	0.0201139220909737	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2949006	14	GSM816653
-0.150	0.201189890532176	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1006737,rs2949006,rs7085104,rs778371	15	GSM816658
0.199	0.295548960196302	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2949006,rs4687552,rs7085104,rs778371	16	GSM816659
-0.245	0.176479514409896	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2269372,rs2373000,rs2949006,rs7085104	17	GSM816648
-0.677	0.0867221245813187	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12991836,rs2949006	18	GSM736626,GSM736595
-1.128	0.0275713492403042	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2949006	19	GSM736501,GSM736492
0.046	0.257085738824646	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10489202,rs12991836,rs2269372,rs2949006,rs6932590	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.163	0.280547212262805	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12991836,rs13194053,rs2949006	21	GSM736604,GSM736529
-1.675	0.00619930316045362	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2949006	22	GSM736592,GSM1024760
-1.006	0.037915666039477	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2949006	23	GSM736502,GSM1024792
-0.296	0.14903178531965	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11191580,rs7527939	24	GSM736583,GSM736505
-0.322	0.141663515652047	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1198588,rs7527939	25	GSM816638
1.249	0.763910478963834	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs11098403,rs11191580,rs1198588,rs2373000,rs7085104	26	GSM736509,GSM736554
-1.118	0.0268238203371777	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs11191580	27	GSM1024745,GSM1024747
-0.324	0.142676278094829	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs11191580,rs1198588	28	GSM736609,GSM736523
