Zscore	Cell	Tissue	File	SNPs	Number	Accession
2.152	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs10152591,rs10946808,rs11809207,rs7742369,rs2871865,rs2523178,rs2224391,rs2665838,rs3110496,rs2292303,rs733254,rs11648796,rs724016,rs6899976,rs4932217,rs494459,rs3782089,rs6439167,rs2274432,rs2282978,rs4605213	1	GSM701525
1.682	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs10152591,rs10946808,rs4072910,rs2523178,rs2224391,rs2665838,rs12153391,rs2292303,rs1150781,rs1635852,rs12986413,rs6899976,rs4932217,rs3751599,rs1776897,rs9487094,rs42235,rs3782089,rs2274432,rs4605213,rs237743	2	GSM701526
2.579	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs10946808,rs4072910,rs2871865,rs2523178,rs2224391,rs2665838,rs3110496,rs2292303,rs654723,rs8099594,rs1150781,rs6570507,rs724016,rs1738475,rs2145998,rs6899976,rs4932217,rs3816804,rs3782089,rs2274432,rs2282978,rs4605213,rs12982744,rs6569648	3	GSM665837
2.869	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10512248,rs10152591,rs7507204,rs10946808,rs4072910,rs7742369,rs2871865,rs2523178,rs11658329,rs2224391,rs11599750,rs2665838,rs3110496,rs9863706,rs2292303,rs8099594,rs1150781,rs10816533,rs1950500,rs2279008,rs2589113,rs11684404,rs724016,rs798544,rs2187642,rs6899976,rs4932217,rs473902,rs941873,rs2236164,rs806794,rs494459,rs9487094,rs3782089,rs2274432,rs4605213,rs6569648	4	GSM701516
2.440	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs7507204,rs10946808,rs7742369,rs910316,rs2871865,rs2523178,rs2224391,rs2665838,rs2284746,rs3110496,rs9863706,rs2292303,rs654723,rs8099594,rs17318596,rs1150781,rs724016,rs1738475,rs6899976,rs4932217,rs473902,rs606452,rs806794,rs494459,rs3782089,rs2274432,rs2282978,rs185819,rs4605213,rs1043515,rs4711336,rs3889237,rs6569648,rs237743	5	GSM701489
1.843	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs2079795,rs2066807,rs10152591,rs10946808,rs2871865,rs2523178,rs2224391,rs3110496,rs2292303,rs654723,rs2277912,rs2070776,rs1150781,rs7249094,rs6440003,rs6899976,rs4932217,rs17511102,rs806794,rs3816804,rs3782089,rs2274432,rs2282978,rs4605213,rs4743034,rs6569648,rs4601530	6	GSM701491
4.579	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs10946808,rs4072910,rs910316,rs2871865,rs798489,rs2523178,rs2224391,rs4665736,rs2665838,rs7209435,rs3110496,rs12321906,rs849141,rs724743,rs2292303,rs654723,rs10863936,rs1150781,rs10874746,rs11684404,rs724016,rs6899976,rs4932217,rs31198,rs606452,rs6938239,rs494459,rs3816804,rs3782089,rs2305707,rs2274432,rs2282978,rs4605213,rs1570106,rs6569648,rs237743,rs12449568,rs4601530	7	GSM665812
1.409	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs2066807,rs10152591,rs10946808,rs4072910,rs910316,rs2871865,rs2523178,rs2224391,rs11599750,rs2665838,rs2292303,rs1150781,rs724016,rs2145998,rs6899976,rs4932217,rs806794,rs3782089,rs2274432,rs2282978,rs4605213,rs6569648	8	GSM665839
2.687	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10512248,rs2280470,rs2066807,rs1182188,rs10152591,rs7507204,rs10946808,rs4072910,rs143384,rs2871865,rs2523178,rs7571816,rs12534093,rs2224391,rs11599750,rs2665838,rs3110496,rs7926971,rs9863706,rs2292303,rs654723,rs8099594,rs17318596,rs6733301,rs757608,rs1150781,rs425277,rs10874746,rs4986172,rs6899976,rs4932217,rs473902,rs3782089,rs2274432,rs2282978,rs4605213,rs6569648	9	GSM817166
2.425	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs7507204,rs10946808,rs4072910,rs2871865,rs2523178,rs2224391,rs3110496,rs2292303,rs654723,rs17318596,rs757608,rs1150781,rs2279008,rs425277,rs798544,rs1738475,rs2145998,rs4932217,rs422421,rs473902,rs3782089,rs2274432,rs2282978,rs4605213,rs7916441	10	GSM701539
1.168	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10512248,rs1569019,rs10152591,rs10946808,rs2871865,rs2523178,rs12534093,rs2224391,rs2665838,rs3110496,rs7926971,rs2292303,rs654723,rs1367226,rs1150781,rs1738475,rs6899976,rs4932217,rs606452,rs806794,rs3782089,rs2274432,rs2282978,rs4811971,rs4605213,rs3792752,rs12199222	11	GSM817160
2.016	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs4886707,rs2066807,rs10152591,rs10946808,rs4072910,rs11809207,rs2871865,rs2523178,rs6561030,rs12534093,rs2224391,rs11599750,rs2665838,rs3110496,rs7926971,rs13273123,rs2237886,rs724743,rs2292303,rs654723,rs17318596,rs2277912,rs1150781,rs2279008,rs11684404,rs6440003,rs6899976,rs4932217,rs606452,rs806794,rs494459,rs3782089,rs2274432,rs4605213,rs6569648	12	GSM665813
0.786	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs10946808,rs4072910,rs2871865,rs2523178,rs2224391,rs2665838,rs2292303,rs654723,rs425277,rs4932217,rs1776897,rs3782089,rs2274432,rs2282978,rs6569648	13	GSM665838
3.397	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10512248,rs10152591,rs10946808,rs4072910,rs9472414,rs7742369,rs910316,rs2871865,rs2523178,rs12474201,rs2224391,rs11599750,rs2665838,rs7274811,rs3110496,rs7926971,rs13273123,rs2292303,rs654723,rs8099594,rs7112925,rs2277912,rs1150781,rs9969804,rs10874746,rs2589113,rs11648796,rs1708299,rs4932217,rs473902,rs806794,rs3782089,rs2274432,rs2282978,rs4605213,rs6569648	14	GSM701499
1.041	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs10946808,rs2871865,rs2523178,rs2224391,rs2665838,rs3110496,rs2292303,rs1150781,rs2279008,rs425277,rs4932217,rs3816804,rs3782089,rs2274432,rs2282978,rs4605213	15	GSM701540
-0.206	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs5751614,rs4072910,rs2523178,rs2224391,rs7763064,rs654723,rs2834442,rs17690232,rs1150781,rs4932217,rs1776897,rs6938239,rs2274432,rs2282978	16	GSM701503
0.593	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs2066807,rs10152591,rs7507204,rs4072910,rs11809207,rs910316,rs2523178,rs3812163,rs2224391,rs2665838,rs654723,rs1367226,rs2279008,rs16942341,rs4932217,rs2282978,rs4601530	17	GSM701541
2.411	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs10152591,rs7507204,rs10946808,rs4072910,rs7742369,rs2871865,rs2523178,rs2224391,rs2665838,rs3110496,rs2292303,rs654723,rs7112925,rs2580816,rs1150781,rs1635852,rs1708299,rs6899976,rs4932217,rs2236164,rs1776897,rs6763931,rs6439167,rs2274432,rs2282978,rs4605213,rs4711336,rs7532866,rs6569648	18	GSM701492
2.125	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs10152591,rs10946808,rs2871865,rs2523178,rs12534093,rs2224391,rs2665838,rs3110496,rs2292303,rs12198986,rs7112925,rs1150781,rs1635852,rs12986413,rs1708299,rs724016,rs798544,rs4932217,rs31198,rs806794,rs1776897,rs2274432,rs4605213,rs4711336,rs2814993,rs6569648	19	GSM701493
3.343	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs3791950,rs10152591,rs10946808,rs4072910,rs7742369,rs2871865,rs6060373,rs2523178,rs2224391,rs2665838,rs3110496,rs9863706,rs2292303,rs17318596,rs1150781,rs9969804,rs10874746,rs1635852,rs12986413,rs1175000,rs1708299,rs6830062,rs6899976,rs4932217,rs422421,rs1776897,rs6763931,rs3782089,rs2274432,rs2282978,rs26868,rs4605213,rs4711336,rs6569648,rs237743	20	GSM701507
2.594	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs2814828,rs9844666,rs10512248,rs11259936,rs7507204,rs10946808,rs7689420,rs2871865,rs4282339,rs6060373,rs2523178,rs12534093,rs3812163,rs2224391,rs7763064,rs2284746,rs1741344,rs7926971,rs13273123,rs2292303,rs654723,rs1367226,rs17690232,rs6060369,rs425277,rs10874746,rs1635852,rs6670655,rs4932217,rs941873,rs4800148,rs2274432,rs2282978,rs4605213,rs6724465,rs2336725,rs10010325,rs1490384	21	GSM701500
