Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.547	0.0858411419671521	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9820070	1	GSM816644
-1.425	0.0156865394577844	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11709625	2	Lookup
1.019	0.590186275225563	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1077834,rs2280401,rs9820070	3	Lookup
0.904	0.531254402728751	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077,rs9820070	4	Lookup
0.049	0.228815366842125	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	5	Lookup
1.666	0.901479542026738	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1077834,rs1260326,rs4273077,rs5751902	6	GSM816664
-0.401	0.108754107747983	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2280401	7	GSM736607
-1.312	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-1.224	8.68588071433269e-11	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.396	0.108886374738576	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2280401	10	GSM736512,GSM736561
-0.388	0.129931749602698	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11709625,rs2280401	11	GSM816665,GSM736496,GSM736620
-1.401	0.0168908492966386	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326	12	GSM816656
-0.255	0.166995261418482	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs5751902,rs7350481	13	GSM816657
0.149	0.257692994553087	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs5751902	14	GSM816653
0.949	0.542132483191086	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs4273077,rs495828,rs5751902	15	GSM816658
-1.741	1.30288355370625e-10	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.203	0.28084515977097	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs4273077,rs7173947	17	GSM816648
0.226	0.277365409656682	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs9820070	18	GSM736626,GSM736595
1.373	0.763718343872247	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077,rs9820070	19	GSM736501,GSM736492
0.206	0.282607690460893	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11709625,rs495828,rs7350481	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.442	0.102157451772799	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs9820070	21	GSM736604,GSM736529
-1.025	0.0356577620707399	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11709625	22	GSM736592,GSM1024760
-0.353	0.117693495542236	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2280401	23	GSM736502,GSM1024792
-1.186	4.34294517858653e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.199	4.82163733276643e-17	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.463	0.0982371316996901	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs9820070	26	GSM736509,GSM736554
-0.498	0.0951728329402805	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2280401	27	GSM1024745,GSM1024747
-1.286	1.30288355370625e-10	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
0.261	0.292391788524146	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	29	GSM736571,GSM736521
0.906	0.510347794770817	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	30	GSM736599,GSM736591
-0.430	0.105333749521125	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs4273077	31	GSM736577,GSM736573
0.520	0.367695092744552	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	32	GSM736611,GSM736624
0.459	0.35632370660392	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs9820070	33	GSM736542,GSM736511
0.516	0.372789742116641	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	34	GSM736507,GSM736627
-0.584	0.0809055582095204	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs5751902	35	GSM1024763
-0.350	0.116246065090866	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs9820070	36	GSM736555,GSM736614
-0.335	0.139511829578378	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs11709625,rs2280401	37	GSM816646,GSM736575,GSM736533
-0.463	0.125912751435973	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4273077,rs495828,rs5756504	38	Lookup
0.378	0.330549987943224	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	39	Lookup
-1.058	0.032764472737136	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs5751902	40	GSM816668
1.237	0.704455287780432	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11709625,rs2242420,rs4273077,rs495828,rs5751902	41	GSM816636
0.020	0.197380439471065	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs2280401	42	GSM736522,GSM736570
-0.072	0.175736652784434	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs2280401	43	GSM1008585
0.163	0.259666063252524	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs2280401,rs4273077	44	GSM736594,GSM736535
-0.386	0.130424926247562	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs11709625,rs4273077	45	GSM816669,GSM736634,GSM736552
-0.202	0.146750693426429	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs9820070	46	GSM736628,GSM736541
