Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.296	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815868	1	GSM816644
2.697	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs2839627,rs11542478,rs6051520	2	Lookup
1.558	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12915189,rs4815868	3	Lookup
-0.911	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
1.280	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189	5	Lookup
0.355	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11077773	6	GSM816664
1.669	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs12915189	7	GSM736607
-0.820	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.378	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs12915189	9	GSM736525
0.312	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs12915189	10	GSM736512,GSM736561
0.535	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs12915189	11	GSM816665,GSM736496,GSM736620
-0.963	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
1.095	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs6051520	13	GSM816657
0.240	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12915189	14	GSM816653
3.252	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs6051520,rs7219585,rs12915189	15	GSM816658
0.203	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10475598	16	GSM816659
-0.064	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11077773	17	GSM816648
0.158	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12915189	18	GSM736626,GSM736595
0.000	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12915189	19	GSM736501,GSM736492
1.151	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11077773,rs6051520,rs12915189	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.800	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189	21	GSM736604,GSM736529
-0.260	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11077773	22	GSM736592,GSM1024760
0.591	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs12915189	23	GSM736502,GSM1024792
1.407	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs7219585,rs12915189	24	GSM736583,GSM736505
0.085	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7219585	25	GSM816638
0.732	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs12915189,rs4815868	26	GSM736509,GSM736554
1.351	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189	27	GSM1024745,GSM1024747
0.173	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs12915189	28	GSM736609,GSM736523
-0.067	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs12915189	29	GSM736571,GSM736521
0.572	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs12915189	30	GSM736599,GSM736591
1.440	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189	31	GSM736577,GSM736573
3.225	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189,rs4815868	32	GSM736611,GSM736624
1.088	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs12915189,rs4815868	33	GSM736542,GSM736511
1.572	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs6051520,rs12915189	34	GSM736507,GSM736627
