Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.836	1.93359937868321	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1016343,rs10875943,rs1218582,rs12621278,rs2735839,rs4430796,rs445114,rs5759167,rs7141529,rs902774	1	GSM816644
0.678	0.503637785328595	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs103294,rs10875943,rs1218582,rs2242652,rs6062509,rs684232,rs7127900,rs7241993,rs902774	2	Lookup
1.349	0.82208496837414	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11568818,rs1465618,rs3771570,rs6465657,rs684232,rs7679673,rs902774	3	Lookup
1.176	0.761885486067482	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs16902094,rs3771570,rs4242382,rs4242384,rs6062509,rs7501939,rs902774	4	Lookup
1.829	1.18889700090377	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11568818,rs12621278,rs1512268,rs5759167,rs6062509,rs6465657,rs684232,rs7501939,rs902774	5	Lookup
-0.483	0.12939868971308	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs2735839,rs8102476,rs902774	6	GSM816664
1.245	0.763301150570149	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs1465618,rs1512268,rs3850699,rs5759167,rs684232,rs902774	7	GSM736607
0.622	0.456753412244244	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1218582,rs3771570,rs6062509,rs6763931	8	GSM736558,GSM736635
2.699	1.80560673076343	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10934853,rs1218582,rs1447295,rs16902094,rs5759167,rs6062509,rs6465657,rs6763931,rs902774	9	GSM736525
1.525	0.96094496112497	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1016343,rs16902094,rs5759167,rs6062509,rs6763931,rs6869841,rs902774	10	GSM736512,GSM736561
2.413	1.63686944000318	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11568818,rs1218582,rs12653946,rs16902094,rs2292884,rs2427345,rs3850699,rs445114,rs5759167,rs6062509,rs6763931,rs684232,rs902774	11	GSM816665,GSM736496,GSM736620
1.136	0.700131707074938	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs11228565,rs12653946,rs2242652,rs2292884,rs3771570,rs6062509,rs684232,rs902774	12	GSM816656
0.864	0.581266595335465	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs11650494,rs2242652,rs2292884,rs3771570,rs6062509,rs684232,rs7127900,rs902774	13	GSM816657
0.873	0.582897025501379	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs10934853,rs16902094,rs6062509,rs684232,rs902774	14	GSM816653
2.044	1.3115847007351	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs11135910,rs12653946,rs16902094,rs2242652,rs3771570,rs4242382,rs5759167,rs6062509,rs7141529,rs902774	15	GSM816658
-0.739	0.0894532333624382	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3771570,rs6062509,rs8008270,rs902774	16	GSM816659
0.377	0.383813651179872	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs16902094,rs2273669,rs3123078,rs5759167,rs6062509,rs6983267,rs902774	17	GSM816648
3.189	2.20731229961932	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1016343,rs10505483,rs13254738,rs16902094,rs3771570,rs3850699,rs445114,rs5759167,rs6062509,rs6465657,rs902774	18	GSM736626,GSM736595
