Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.943	0.589205300746219	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs1408272,rs2236496,rs3916164	1	GSM701525
1.411	0.838381217798011	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs2075672,rs2572207,rs3184504,rs3916164	2	GSM701526
0.123	0.269540204437798	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2572207,rs3184504	3	GSM665837
2.486	1.59283342788795	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs1050828,rs12530845,rs12718598,rs140522,rs2236496,rs2572207,rs3184504,rs3916164	4	GSM701516
0.910	0.591041149599692	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs13335629,rs2572207,rs3916164,rs7312105,rs762516	5	GSM701489
1.435	0.879511055707816	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs12530845,rs12718598,rs2572207,rs4953318,rs737092	6	GSM701491
0.275	0.327953946043971	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs12530845,rs12718598,rs2572207,rs901683	7	GSM665812
0.642	0.458800887981977	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs1122794,rs12718598,rs2572207,rs4820268	8	GSM665839
0.357	0.361037038744285	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs12530845,rs12718598,rs3184504,rs5754217	9	GSM817166
0.418	0.370828779184774	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs12718598,rs2075672,rs2572207	10	GSM701539
-0.496	0.12479370901704	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs12718598,rs2572207	11	GSM817160
0.832	0.550017306626234	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2075672,rs2572207,rs3184504,rs5754217,rs901683	12	GSM665813
0.231	0.30416601624907	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2075672,rs2572207	13	GSM665838
1.369	0.841931329378963	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs1122794,rs12530845,rs12718598,rs140522,rs2572207	14	GSM701499
0.855	0.551431763023539	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs12718598,rs2075672,rs2572207	15	GSM701540
1.120	0.69932946920461	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10849023,rs11248850,rs12718598,rs4820268	16	GSM701503
0.203	0.295806605219854	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs3184504,rs579459	17	GSM701541
-0.336	0.153345167741985	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs2075672,rs2572207	18	GSM701492
1.507	0.908605431854551	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs1050828,rs1800562,rs2075672,rs2572207,rs3916164	19	GSM701493
0.717	0.506440595803173	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs2075672,rs2572207,rs4953318,rs5754217	20	GSM701507
-1.160	0.0291671854376598	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs741702	21	GSM701500
2.480	1.57651956059683	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs11627546,rs12718598,rs737092,rs741702,rs901683	22	GSM530664
2.984	1.89010233524039	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs1008084,rs10445033,rs11248850,rs2075672,rs2572207,rs737092,rs741702,rs901683	23	GSM530658
3.806	2.63620877432455	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs1008084,rs10445033,rs11248850,rs2075672,rs2572207,rs579459,rs737092,rs741702,rs901683	24	GSM530659
