Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.695	0.374156966594076	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7953249	1	GSM816644
2.418	1.24526614219383	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3760776,rs7159888,rs735396	2	Lookup
0.737	0.370864460189808	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7159888	3	Lookup
2.083	0.982729227085918	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs7159888,rs7953249	4	Lookup
0.601	0.334791629773288	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7159888	5	Lookup
0.553	0.321980284911185	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7953249	6	GSM816664
2.558	1.17849441277191	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3760776,rs7159888	7	GSM736607
1.029	0.48230781947886	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs7159888	8	GSM736558,GSM736635
0.858	0.424058219624432	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs7159888	9	GSM736525
0.884	0.435331542164729	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs7159888	10	GSM736512,GSM736561
0.272	0.241651807694971	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs7159888	11	GSM816665,GSM736496,GSM736620
0.000	0.172423969274141	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs735396	12	GSM816656
2.330	1.15753300326812	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7159888,rs735396,rs7953249	13	GSM816657
