Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.430	0.707925274475167	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354	1	GSM816644
2.652	1.40853875816735	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7524102,rs7932354,rs9594738	2	Lookup
2.538	1.32335711070353	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	3	Lookup
2.410	1.26806889594399	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	4	Lookup
2.240	1.17021177850036	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	5	Lookup
1.285	0.644191543998489	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354	6	GSM816664
1.561	0.785267234057955	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354	7	GSM736607
3.263	1.61627007460873	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	8	GSM736558,GSM736635
2.608	1.4188968462585	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	9	GSM736525
2.611	1.37262127659957	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	10	GSM736512,GSM736561
1.570	0.849745194989587	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	11	GSM816665,GSM736496,GSM736620
1.707	0.856999488894312	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs87938	12	GSM816656
1.655	0.812548866328482	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	13	GSM816657
2.494	1.29779558733876	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	14	GSM816653
1.974	0.963509254207747	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	15	GSM816658
3.368	1.80005375327745	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7524102,rs7932354,rs9594738	16	GSM816659
1.731	0.888268922341181	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	17	GSM816648
2.470	1.31176540403989	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	18	GSM736626,GSM736595
2.464	1.28280819266557	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	19	GSM736501,GSM736492
1.372	0.754318118128369	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs228769,rs7932354,rs9594738	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
