Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.006	8.68588553597002e-11	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-0.648	0.0719274873430802	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608	2	Lookup
1.183	0.629280738673841	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4714955,rs579459	3	Lookup
2.171	1.14027477116719	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs12190287,rs12449964	4	Lookup
2.093	1.12879558011643	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12190287,rs12449964,rs579459	5	Lookup
0.879	0.499152810337984	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs12190287	6	GSM816664
-0.875	4.3429403569492e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.836	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.914	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.951	4.82163733276643e-17	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.356	0.115717938333785	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2219939	11	GSM816665,GSM736496,GSM736620
1.373	0.707223702958585	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11556924,rs12449964	12	GSM816656
1.139	0.603770092903545	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs11556924,rs579459	13	GSM816657
-1.020	4.34294517858653e-11	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
0.562	0.382716031859542	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs12190287	15	GSM816658
-1.204	4.34294517858653e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.501	0.363987032158374	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1122608,rs17114036	17	GSM816648
-0.965	0	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.961	4.34295000022386e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
1.208	0.67935202978775	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs2219939,rs579459	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.930	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.251	0.135442929235126	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2219939	22	GSM736592,GSM1024760
-0.796	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-0.921	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.924	4.82163733276643e-17	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.999	4.34295000022386e-11	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-0.939	4.3429403569492e-11	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
0.276	0.262732085631217	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs17114036	28	GSM736609,GSM736523
0.077	0.208440554180662	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs17114036	29	GSM736571,GSM736521
0.515	0.328258082438841	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs579459	30	GSM736599,GSM736591
-0.937	0	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig		31	GSM736577,GSM736573
