Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.168	0.154028866090395	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746	1	GSM816644
-0.806	0.0614222159338958	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746	2	Lookup
-1.263	1.30288355370625e-10	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.246	0.13891804561591	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2277027	4	Lookup
-0.384	0.113408759526947	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746	5	Lookup
-0.301	0.13042444995699	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746	6	GSM816664
-1.085	4.34294517858653e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
0.077	0.210450002495336	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2284746	8	GSM736558,GSM736635
1.017	0.553938696631369	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11001819,rs2277027	9	GSM736525
-1.081	8.68588071433269e-11	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
0.205	0.27131872409962	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs16909898,rs2284746	11	GSM816665,GSM736496,GSM736620
0.160	0.253476505938128	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746	12	GSM816656
0.920	0.495045997574697	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746,rs2571445	13	GSM816657
1.829	0.960080910362229	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs1980057,rs2571445	14	GSM816653
-0.610	0.0805830582497812	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2571445	15	GSM816658
1.437	0.738606516974216	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746,rs7594321	16	GSM816659
-0.696	0.0716602618056563	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7068966	17	GSM816648
-0.181	0.151868230606921	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2284746	18	GSM736626,GSM736595
-1.108	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.714	0.0645260319834029	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-1.099	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.595	0.0819620273047658	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	22	GSM736592,GSM1024760
-1.084	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
1.156	0.6050765266737	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	24	GSM736583,GSM736505
1.214	0.637848163315874	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	25	GSM816638
1.824	0.958397365264544	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs1980057,rs3817928	26	GSM736509,GSM736554
0.963	0.535472429766453	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746	27	GSM1024745,GSM1024747
3.063	1.72063622128091	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs2865531,rs3817928	28	GSM736609,GSM736523
2.720	1.48704479171683	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs3817928,rs7068966	29	GSM736571,GSM736521
2.563	1.34850029067041	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs7068966	30	GSM736599,GSM736591
3.024	1.69773691618388	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs3817928,rs7068966	31	GSM736577,GSM736573
2.215	1.1326538834699	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs7068966	32	GSM736611,GSM736624
0.907	0.50654573177502	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs3817928	33	GSM736542,GSM736511
4.096	2.52891436360591	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs12899618,rs1980057,rs2284746,rs3817928,rs7068966	34	GSM736507,GSM736627
1.848	0.979548390178876	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs3817928	35	GSM1024763
-0.073	0.175344298840827	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs2284746	36	GSM736555,GSM736614
0.944	0.559039537800241	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs3817928	37	GSM816646,GSM736575,GSM736533
1.252	0.674593817684302	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746,rs2571445,rs3817928	38	Lookup
-1.112	0	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-1.390	8.68589517924469e-11	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
1.534	0.822757452697945	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs16909898,rs2284746,rs2571445	41	GSM816636
1.128	0.623915448433	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746	42	GSM736522,GSM736570
0.334	0.278314701026676	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs2284746	43	GSM1008585
2.321	1.31847864346795	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs11001819,rs1529672,rs1980057,rs7068966	44	GSM736594,GSM736535
0.090	0.238440758966533	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs3817928	45	GSM816669,GSM736634,GSM736552
0.088	0.213619442974594	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs2284746	46	GSM736628,GSM736541
-0.605	0.0768637043724475	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.377	0.115825892716043	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2571445	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.658	0.407296266527866	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.896	0.509719512941498	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	50	GSM736586,GSM736538
-0.711	0.0628408645583796	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.118	0.164285809426293	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804	52	GSM816633,GSM816643,GSM736564,GSM736510
0.767	0.434793841939275	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs2571445	53	GSM736500,GSM736587
0.262	0.259657074670827	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs2284746	54	GSM736600,GSM736493
0.032	0.200201198819503	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs2284746	55	GSM736534,GSM736491
1.282	0.672270516917359	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	56	GSM736613,GSM736526,GSM736613,GSM736526
0.673	0.429992835168544	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746	57	GSM736613,GSM736526,GSM736613,GSM736526
-0.613	0.0761223086427242	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	58	GSM816649,GSM736580,GSM736506
-0.031	0.184577774740508	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs2284746	59	GSM736631,GSM736606
3.119	1.77064248969763	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs1529672,rs1980057,rs2284746,rs7068966	60	GSM736569,GSM736597
1.047	0.57321361680011	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs3817928,rs7068966	61	GSM736585,GSM736532
3.059	1.73294477439217	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs1529672,rs1980057,rs3817928	62	GSM736589,GSM736615
2.088	1.10099187507309	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs1529672,rs2284746,rs3817928	63	GSM736621,GSM736550
1.200	0.626679670309535	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	64	GSM736632,GSM736528
-1.010	0	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig		65	GSM736549,GSM736557
1.187	0.637148830251562	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746	66	GSM736527,GSM736548
-0.115	0.165143020511693	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig	rs1980057	67	GSM736630,GSM736623
1.826	0.937880450856088	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs1980057,rs2284746,rs7068966	68	GSM816647
-0.978	4.82163733276643e-17	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig		69	GSM736543,GSM736539
1.168	0.625289356968623	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs3817928,rs7068966	70	GSM736608,GSM736617
-0.025	0.208675514654237	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746	71	Lookup
0.538	0.376526135576273	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7594321	72	Lookup
0.719	0.427828932674725	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs2571445	73	GSM816629
-0.049	0.180722190172812	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig	rs2284746	74	GSM736547,GSM736515
-1.153	4.82163733276643e-17	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig		75	GSM736495,GSM736636
0.779	0.460188987548783	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746,rs2571445	76	GSM816628
0.751	0.456032945200707	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746	77	GSM736602,GSM736572
0.663	0.426968478214621	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746	78	GSM736524,GSM736605
1.602	0.80267530187494	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	79	GSM736531,GSM736619
1.348	0.694755734113288	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs7068966	80	GSM736579,GSM736576
3.005	1.68842708252906	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig	rs1435867,rs2284746,rs3817928,rs7068966	81	GSM736494,GSM736601
2.254	1.17869638480853	HCF	Heart	HCF-DS12501.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746,rs7068966	82	GSM736568,GSM736540
0.991	0.54925354131604	HCM	Heart	HCM-DS12599.twopass.merge150.wgt10.zgt2.wig	rs1980057,rs2284746	83	GSM736516,GSM736504
