Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.392	0.0207716182934937	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603023,rs1997243,rs6511720	1	GSM816644
0.051	0.27603628609081	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1169288,rs1800961,rs1997243,rs2072183,rs2277862,rs492602,rs4939883,rs514230,rs6511720,rs6831256,rs9987289	2	Lookup
0.147	0.299298713699702	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs10904908,rs1800562,rs1997243,rs2075650,rs2758886,rs2902940,rs6511720	3	Lookup
0.327	0.363540460591891	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1169288,rs1800562,rs1997243,rs2075650,rs3757354,rs4722551,rs581080,rs6511720	4	Lookup
-0.985	0.0552762067908278	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10904908,rs174570,rs1997243,rs514230,rs6511720	5	Lookup
0.394	0.388284314511723	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs174570,rs1997243,rs2072183,rs2075650,rs2277862,rs4722551,rs4939883	6	GSM816664
0.573	0.461977320528796	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs138777,rs174546,rs174570,rs1997243,rs2228671,rs4420638,rs6511720	7	GSM736607
-1.315	0.0215172289315975	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs1997243	8	GSM736558,GSM736635
-1.140	0.0357100208468086	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1997243,rs314253,rs6511720	9	GSM736525
0.556	0.460533558202786	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs174546,rs1997243,rs2954029,rs314253,rs4420638,rs4530754,rs6511720	10	GSM736512,GSM736561
0.090	0.288223823871424	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10401969,rs174570,rs1997243,rs2075650,rs2228671,rs2290159,rs4253772,rs4722551,rs6511720,rs964184	11	GSM816665,GSM736496,GSM736620
-1.422	0.0243374799541776	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10401969,rs1260326,rs1800961,rs1997243,rs2072183,rs4722551	12	GSM816656
-0.381	0.167043382466133	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs174546,rs1800961,rs1997243,rs2072183,rs2075650,rs2277862,rs314253,rs4722551,rs4939883	13	GSM816657
0.274	0.343352879569542	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10102164,rs1260326,rs174546,rs174570,rs1997243,rs2072183,rs7941030	14	GSM816653
0.206	0.324034552531976	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs1260326,rs13315871,rs1997243,rs2000999,rs2072183,rs2277862,rs314253,rs4722551,rs514230	15	GSM816658
-0.855	0.0773726341079957	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs174570,rs1997243,rs2277862,rs314253,rs7941030,rs9987289	16	GSM816659
-0.664	0.109135463026427	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs13315871,rs1997243,rs2000999,rs2290159,rs314253,rs4722551,rs9987289	17	GSM816648
0.780	0.563728609850368	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs174546,rs1997243,rs2075650,rs2228671,rs2902940,rs3780181,rs6511720,rs7515577,rs964184	18	GSM736626,GSM736595
0.832	0.586575757461359	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs174570,rs1997243,rs3846662,rs4420638,rs4722551,rs514230,rs6511720,rs9376090	19	GSM736501,GSM736492
0.385	0.401193742744641	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10401969,rs10903129,rs11065987,rs1997243,rs2075650,rs2290159,rs2479409,rs2814982,rs3757354,rs4253772,rs629301,rs6511720	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.889	0.614924528131014	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs1997243,rs2902940,rs3757354,rs4722551,rs514230,rs6511720,rs7515577,rs964184	21	GSM736604,GSM736529
0.009	0.26071919583185	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10401969,rs10904908,rs1800562,rs1997243,rs2075650,rs2290159,rs4253772,rs6511720,rs9376090	22	GSM736592,GSM1024760
-0.498	0.125471488644727	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs10904908,rs1997243,rs6511720,rs9376090	23	GSM736502,GSM1024792
0.821	0.57451922742155	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs10128711,rs10904908,rs11603023,rs1997243,rs2000999,rs514230,rs6511720	24	GSM736583,GSM736505
-0.029	0.23973909859966	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10128711,rs1997243,rs314253,rs4722551,rs6511720	25	GSM816638
-1.376	0.0202937244546907	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1997243,rs514230,rs6511720	26	GSM736509,GSM736554
0.055	0.268281183251305	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10903129,rs11603023,rs1997243,rs2228671,rs4253772,rs6511720	27	GSM1024745,GSM1024747
-0.191	0.194708390331514	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10102164,rs10903129,rs1997243,rs2228671,rs6511720	28	GSM736609,GSM736523
-0.762	0.0809099441791953	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10903129,rs1997243,rs2228671,rs514230,rs6511720	29	GSM736571,GSM736521
