Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.136	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210	1	GSM816644
0.740	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs9926296,rs10768122,rs6544997,rs11203203	2	Lookup
1.760	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs2476601,rs11966200,rs4409785	3	Lookup
1.032	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs11966200,rs4908760	4	Lookup
-0.331	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs706779	5	Lookup
1.506	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6544997,rs853308,rs13208776,rs4908760	6	GSM816664
0.963	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs1417210,rs229527	7	GSM736607
1.075	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs4822024,rs11203203	8	GSM736558,GSM736635
0.754	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1417210	9	GSM736525
1.524	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1129038,rs4409785	10	GSM736512,GSM736561
0.680	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs4766578,rs853308,rs11203203	11	GSM816665,GSM736496,GSM736620
1.284	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1129038,rs2456973,rs2236313,rs229527	12	GSM816656
1.345	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1129038,rs16872571,rs11203203,rs4908760	13	GSM816657
1.841	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1464510,rs11203203,rs4908760	14	GSM816653
0.888	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs1129038,rs853308,rs11203203	15	GSM816658
-0.007	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10876864,rs6510827,rs4908760	16	GSM816659
