Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.606	0.459334931377876	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs17616316,rs737092	1	GSM816644
0.463	0.40503818941093	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11248850,rs12718598,rs140522,rs2075672,rs3811444,rs5754217,rs762516,rs9386791	2	Lookup
2.255	1.38346188920011	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs1050828,rs10849023,rs12718598,rs140522,rs1800562,rs579459,rs741702	3	Lookup
1.978	1.22766361701255	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs10849023,rs12718598,rs1800562,rs2075672,rs2572207,rs3916164,rs855791	4	Lookup
4.987	3.94504737875242	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1008084,rs10445033,rs10849023,rs11104870,rs1122794,rs11248850,rs12718598,rs17616316,rs2075672,rs2572207,rs579459,rs737092,rs741702,rs901683	5	Lookup
-1.363	0.0222263385282218	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2075672	6	GSM816664
3.272	2.16031592845533	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs12718598,rs2075672,rs2572207,rs3184504,rs737092,rs741702,rs901683	7	GSM736607
2.330	1.49255059419921	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs1408272,rs1800562,rs2075672,rs3892630,rs901683,rs9389269	8	GSM736558,GSM736635
2.673	1.77903733445095	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs1122794,rs11248850,rs1408272,rs2075672,rs3184504,rs857684,rs901683	9	GSM736525
2.072	1.27300768826924	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs1408272,rs17616316,rs2075672,rs2572207,rs901683,rs9389269	10	GSM736512,GSM736561
0.878	0.598724536460114	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs140522,rs1408272,rs17616316,rs2075672,rs3184504,rs4820268,rs901683	11	GSM816665,GSM736496,GSM736620
-1.274	0.0373711132747718	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11190134,rs17616316,rs2075672,rs741702	12	GSM816656
1.483	0.880875707365294	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs11190134,rs11248850,rs12718598,rs13335629,rs2075672,rs3811444,rs579459,rs737092,rs741702,rs855791	13	GSM816657
0.968	0.621211835354839	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10849023,rs11248850,rs1408272,rs17616316,rs2075672,rs741702	14	GSM816653
-0.574	0.118030767735247	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11248850,rs12718598,rs17616316,rs2075672,rs741702	15	GSM816658
0.865	0.569231950163923	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11248850,rs17616316,rs2075672,rs741702,rs855791,rs901683,rs9386791	16	GSM816659
1.563	0.953742069327932	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs1122794,rs12718598,rs2075672,rs4820268,rs737092,rs741702,rs855791,rs901683,rs9386791	17	GSM816648
2.592	1.72133567402448	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs1050828,rs11248850,rs12718598,rs140522,rs2075672,rs3184504,rs3892630,rs741702	18	GSM736626,GSM736595
1.245	0.787039842064196	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1008084,rs11248850,rs12718598,rs17616316,rs2075672,rs901683	19	GSM736501,GSM736492
3.996	3.18876136748082	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs10445033,rs11248850,rs11717368,rs12530845,rs12718598,rs140522,rs1408272,rs17616316,rs2075672,rs2572207,rs4820268,rs5754217,rs579459,rs737092,rs901683	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.493	1.58976246014821	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10480300,rs11248850,rs12718598,rs17616316,rs737092,rs741702,rs901683	21	GSM736604,GSM736529
2.440	1.61781138553203	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs11248850,rs12718598,rs140522,rs1408272,rs17616316,rs1800562,rs2075672,rs3184504,rs4820268,rs901683	22	GSM736592,GSM1024760
3.494	2.47351090393293	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs10849023,rs11248850,rs12530845,rs12718598,rs1408272,rs17342717,rs741702,rs901683	23	GSM736502,GSM1024792
-0.062	0.216577583167122	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850	24	GSM736583,GSM736505
0.556	0.434467573787977	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10480300,rs11248850,rs17616316	25	GSM816638
1.119	0.728267946334745	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs10480300,rs11248850,rs3892630,rs901683	26	GSM736509,GSM736554
1.289	0.784758917416182	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs2236496,rs3184504,rs741702	27	GSM1024745,GSM1024747
2.222	1.35493409950318	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10480300,rs11248850,rs2236496,rs3184504,rs741702,rs901683	28	GSM736609,GSM736523
0.978	0.628816226140144	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs140522,rs3184504,rs741702,rs901683	29	GSM736571,GSM736521
2.785	1.8005422078877	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs2236496,rs3184504,rs579459,rs7155454,rs741702	30	GSM736599,GSM736591
2.032	1.24270468149947	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs2236496,rs3184504,rs741702,rs901683	31	GSM736577,GSM736573
1.005	0.612944667899671	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs2236496,rs741702	32	GSM736611,GSM736624
0.811	0.554902246249189	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs17616316,rs3184504,rs901683	33	GSM736542,GSM736511
1.999	1.22543670518546	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs140522,rs2236496,rs3184504,rs741702	34	GSM736507,GSM736627
0.025	0.248611102155676	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs3184504,rs901683	35	GSM1024763
2.034	1.26688550598289	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs10480300,rs11248850,rs17616316,rs741702,rs901683	36	GSM736555,GSM736614
1.209	0.792959718509797	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs11248850,rs140522,rs1408272,rs17616316,rs2075672,rs4820268,rs741702,rs901683	37	GSM816646,GSM736575,GSM736533
1.709	1.08363236565833	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10480300,rs11190134,rs11248850,rs12718598,rs13335629,rs140522,rs2075672,rs3811444,rs737092,rs741702,rs762516,rs901683	38	Lookup
2.244	1.50721373700934	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs12530845,rs12718598,rs17616316,rs737092,rs741702,rs7529925	39	Lookup
-0.302	0.170757459865695	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs12718598,rs2075672,rs737092	40	GSM816668
0.533	0.436617869315218	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs13335629,rs2075672,rs5754217,rs7155454,rs7312105,rs737092,rs741702,rs855791	41	GSM816636
-0.393	0.127350284750203	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs11248850,rs17616316	42	GSM736522,GSM736570
1.152	0.685787856601701	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs1050828,rs12718598,rs2075672,rs741702	43	GSM1008585
0.780	0.547333736851668	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs737092,rs741702,rs901683	44	GSM736594,GSM736535
2.424	1.65829390964126	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10207392,rs140522,rs1408272,rs17616316,rs2075672,rs3916164,rs4820268,rs590856,rs901683,rs9310736,rs9389269	45	GSM816669,GSM736634,GSM736552
-0.469	0.115722777315574	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850	46	GSM736628,GSM736541
0.433	0.40232808465688	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs140522,rs1408272,rs17616316,rs2075672,rs4820268,rs901683	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.978	0.640832052881193	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs1122794,rs17616316,rs2075672,rs579459,rs590856,rs737092	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
2.135	1.31815727071817	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs12718598,rs13335629,rs17616316,rs2075672,rs579459,rs741702,rs901683	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
1.836	1.15928482501922	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs10480300,rs11248850,rs737092,rs741702,rs901683	50	GSM736586,GSM736538
1.074	0.704925918858103	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs10445033,rs140522,rs1408272,rs17616316,rs2075672,rs4820268,rs579459,rs901683	51	GSM816633,GSM816643,GSM736564,GSM736510
1.187	0.726155769582597	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs10480300,rs2075672,rs579459,rs737092,rs901683	52	GSM816633,GSM816643,GSM736564,GSM736510
1.226	0.735128196597115	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs1050828,rs11190134,rs12718598,rs13335629,rs2075672,rs737092	53	GSM736500,GSM736587
0.264	0.317380419163987	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs2075672	54	GSM736600,GSM736493
1.172	0.715207927161733	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs17616316,rs3892630,rs901683	55	GSM736534,GSM736491
1.313	0.807088543868024	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs17616316,rs901683	56	GSM736613,GSM736526,GSM736613,GSM736526
1.378	0.881614242684117	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs10445033,rs11248850,rs140522,rs17616316,rs3892630,rs5754217,rs901683	57	GSM736613,GSM736526,GSM736613,GSM736526
2.247	1.48384360857637	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs10207392,rs10480300,rs11248850,rs140522,rs1408272,rs17616316,rs2075672,rs3184504,rs3892630,rs4820268,rs901683	58	GSM816649,GSM736580,GSM736506
1.760	1.0602963177198	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs3892630,rs741702,rs901683	59	GSM736631,GSM736606
3.295	2.31040622527095	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs10480300,rs11248850,rs140522,rs17616316,rs3184504,rs741702,rs901683	60	GSM736569,GSM736597
-1.362	0.0138664238154628	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs11248850	61	GSM736585,GSM736532
0.941	0.612276683478464	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs11248850,rs741702,rs901683	62	GSM736589,GSM736615
