Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.080	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs4789580,rs11994937,rs16871226,rs11781525,rs16982515,rs523516,rs7902627,rs1436958,rs7314811,rs4821897,rs17348299,rs137686	1	GSM701525
1.223	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs2186369,rs12342831,rs7159888,rs4789580,rs11994937,rs7978454,rs16871226,rs5757676,rs6583437,rs11781525,rs16982515,rs2745851,rs11260603,rs523516,rs4930561,rs5764106,rs137686,rs3813009	2	GSM701526
0.272	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs10504390,rs4789580,rs11994937,rs7978454,rs16871226,rs6583437,rs11781525,rs16982515,rs523516,rs7902627,rs10937705,rs1436958,rs13072512,rs137686	3	GSM665837
0.062	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs7731390,rs16871226,rs6583437,rs16982515,rs2745851,rs10751776,rs722599,rs523516,rs7902627,rs6494964,rs10937705,rs1436958,rs6421315,rs137686,rs1467979,rs2659005,rs11738945	4	GSM701516
0.168	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs7731390,rs16871226,rs6583437,rs11781525,rs16982515,rs11260603,rs523516,rs7902627,rs10937705,rs10131728,rs13072512,rs8010715,rs2664299,rs1095368,rs3777193,rs6421315,rs137686,rs11880637	5	GSM701489
0.923	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs11779594,rs4076555,rs2361701,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs6479779,rs11781525,rs16982515,rs722599,rs523516,rs7902627,rs10937705,rs7314811,rs7895244,rs7021663,rs17348299,rs6421315,rs137686	6	GSM701491
-0.556	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs7179432,rs7734985,rs10504390,rs4789580,rs7781977,rs11994937,rs16871226,rs16982515,rs722599,rs523516,rs7902627,rs3821819,rs7314811,rs1035275,rs17348299,rs6421315	7	GSM665812
0.497	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs11781525,rs16982515,rs10751776,rs523516,rs7902627,rs10937705,rs10813957,rs8010715,rs10758189,rs17348299,rs137686	8	GSM665839
0.885	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs7325564,rs11779594,rs7159888,rs4789580,rs7781977,rs2106139,rs11994937,rs7731390,rs16871226,rs12127944,rs6583437,rs16982515,rs2745851,rs11260603,rs722599,rs523516,rs9394438,rs7902627,rs11212260,rs139014,rs7314811,rs1012583,rs11651000,rs137686,rs1467979	9	GSM817166
-0.404	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs16982515,rs10751776,rs11260603,rs523516,rs7902627,rs7314811,rs17348299,rs137686	10	GSM701539
0.350	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2610739,rs7179432,rs11779594,rs4789580,rs7781977,rs11994937,rs16871226,rs3845441,rs6583437,rs16982515,rs10206020,rs10751776,rs523516,rs7902627,rs10937705,rs4821897,rs3777193,rs10758189,rs17348299,rs137686,rs9948784	11	GSM817160
0.975	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs7179432,rs12342831,rs11779594,rs10488029,rs4789580,rs11847263,rs11994937,rs7978454,rs16871226,rs5757676,rs6583437,rs10817408,rs16982515,rs4917017,rs11260603,rs722599,rs523516,rs9394438,rs7902627,rs10937705,rs10131728,rs1672743,rs13072512,rs10758189,rs6421315,rs137686,rs738144,rs11700462	12	GSM665813
1.200	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs11779594,rs4789580,rs7781977,rs12431702,rs11994937,rs16871226,rs6583437,rs16982515,rs10751776,rs523516,rs7902627,rs10937705,rs3780486,rs10758189,rs137686	13	GSM665838
-0.894	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs11779594,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs16982515,rs2279913,rs10751776,rs722599,rs12600635,rs523516,rs7902627,rs10937705,rs137686	14	GSM701499
0.831	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs7159888,rs4789580,rs7781977,rs2106139,rs11994937,rs7731390,rs16871226,rs6583437,rs2028414,rs16982515,rs10751776,rs523516,rs3780486,rs1122979,rs137686	15	GSM701540
1.686	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs2361701,rs4789580,rs7781977,rs2106139,rs11994937,rs2841233,rs16871226,rs11781525,rs16982515,rs722599,rs523516,rs9394438,rs7314811,rs10813957,rs7895244,rs4821897,rs6797769,rs10758189,rs17348299,rs909674,rs137686	16	GSM701503
0.652	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs2186369,rs2361701,rs11994937,rs16871226,rs4869266,rs11781525,rs523516,rs7951911,rs7314811,rs4821897,rs10758189,rs17348299,rs137686,rs1467979,rs12530,rs10049992	17	GSM701541
2.008	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs12342831,rs11779594,rs7159888,rs4789580,rs7781977,rs11994937,rs16871226,rs6583437,rs2504183,rs11781525,rs16982515,rs2745851,rs11260603,rs722599,rs523516,rs627386,rs3821819,rs10198756,rs7314811,rs10813957,rs17776120,rs4821897,rs10758189,rs17348299,rs137686,rs1467979	18	GSM701492
