Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.203	1.04041753857068	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10495928,rs11611647	1	GSM816644
1.333	0.669914482275037	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11611647,rs2736100	2	Lookup
0.839	0.411314556884203	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11611647	3	Lookup
0.696	0.380058137857408	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11611647	4	Lookup
0.654	0.362901847561993	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11611647	5	Lookup
0.730	0.383358458765231	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11611647	6	GSM816664
0.906	0.439899934475253	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3218097	7	GSM736607
-0.530	4.34293553531186e-11	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.913	0.440714168269821	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11611647	9	GSM736525
0.906	0.443170572972569	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11611647	10	GSM736512,GSM736561
0.289	0.255944469491025	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11611647	11	GSM816665,GSM736496,GSM736620
-0.939	4.34294517858653e-11	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-1.047	0	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
-0.714	4.82163733276643e-17	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.828	0.845713924034757	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11611647,rs495828	15	GSM816658
-0.846	4.34294517858653e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.349	0.268438287367582	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2736100	17	GSM816648
0.850	0.424093919750468	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3218097	18	GSM736626,GSM736595
0.873	0.435868162395393	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs3218097	19	GSM736501,GSM736492
2.556	1.36975094261578	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11611647,rs3218097,rs495828	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.801	0.410579602222464	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs3218097	21	GSM736604,GSM736529
0.462	0.305843022835333	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11611647	22	GSM736592,GSM1024760
