Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.009	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2236496,rs3916164,rs1408272	1	GSM701525
1.579	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs3916164,rs1800562,rs2075672,rs3184504	2	GSM701526
0.213	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs3184504	3	GSM665837
2.803	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs2236496,rs3916164,rs12530845,rs140522,rs1050828,rs10480300,rs3184504	4	GSM701516
0.760	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs7312105,rs12718598,rs3916164,rs762516,rs13335629	5	GSM701489
1.396	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs12530845,rs10445033,rs737092,rs4953318	6	GSM701491
0.418	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs901683,rs12530845	7	GSM665812
0.539	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs2572207,rs12718598,rs1122794	8	GSM665839
0.407	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs5754217,rs12718598,rs12530845,rs1050828,rs3184504	9	GSM817166
0.449	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs2075672,rs1050828	10	GSM701539
