Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.232	0.76159041224566	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs3771570,rs4245739,rs5759167,rs6062509,rs902774	1	GSM701525
0.548	0.432757997559764	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs16902094,rs6062509,rs7501939,rs902774	2	GSM701526
2.777	1.83088655585768	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10187424,rs12621278,rs3771570,rs5759167,rs6062509,rs684232,rs7501939,rs902774	3	GSM665837
0.027	0.255912952110559	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs12621278,rs3771570,rs6062509,rs902774	4	GSM701516
1.481	0.921920096282673	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs12621278,rs3771570,rs5759167,rs6062509,rs6465657,rs684232,rs7501939,rs902774	5	GSM701489
1.591	0.969753655362329	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs11228565,rs11650494,rs5759167,rs6062509,rs7501939,rs8102476,rs902774	6	GSM701491
0.984	0.655855163655563	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs3771570,rs5759167,rs6062509,rs8102476,rs902774	7	GSM665812
1.974	1.20700232598641	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs11568818,rs3771570,rs5759167,rs6062509,rs6465657,rs684232,rs902774	8	GSM665839
1.591	0.990630824268637	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs103294,rs11228565,rs12621278,rs3771570,rs5759167,rs6062509,rs684232,rs902774	9	GSM817166
1.050	0.651737510385539	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10875943,rs5759167,rs6062509,rs6465657,rs902774	10	GSM701539
2.305	1.51190822548402	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs12621278,rs16902094,rs2735839,rs3771570,rs5759167,rs6062509,rs684232,rs7141529,rs902774	11	GSM817160
0.349	0.368942919289633	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs12621278,rs16902094,rs3771570,rs445114,rs6062509,rs902774	12	GSM665813
0.174	0.287145951144452	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs3771570,rs6062509,rs902774	13	GSM665838
2.419	1.59440457173054	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs12621278,rs16902094,rs2273669,rs3771570,rs6062509,rs684232,rs7210100,rs8102476,rs902774	14	GSM701499
0.296	0.327771067007586	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs3771570,rs6062509,rs902774	15	GSM701540
-0.121	0.203577297204633	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs6465657,rs8102476,rs902774	16	GSM701503
0.002	0.236471135737296	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs2273669,rs6465657,rs902774	17	GSM701541
1.502	0.907165881766849	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs1218582,rs16902094,rs3771570,rs6062509,rs6763931,rs684232,rs902774	18	GSM701492
1.275	0.780072021922099	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs16902094,rs6062509,rs684232,rs7501939,rs8102476,rs902774	19	GSM701493
2.894	2.00416572482533	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs11568818,rs16902094,rs3771570,rs4242382,rs6062509,rs6763931,rs684232,rs7501939,rs8102476,rs902774	20	GSM701507
