Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.246	0.310774462092496	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs12463617,rs3817334	1	GSM816644
-0.010	0.239052043923423	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288,rs7234864,rs7359397	2	Lookup
0.304	0.328808204031665	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11142387,rs1121980,rs11671664	3	Lookup
-0.429	0.125602968976062	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs29941	4	Lookup
0.083	0.2585183102244	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1121980,rs11671664,rs1561288	5	Lookup
-1.180	0.0251744481730788	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664	6	GSM816664
-0.812	0.0509662908571126	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11671664	7	GSM736607
-0.711	0.0676744399061963	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11671664	8	GSM736558,GSM736635
-0.205	0.171719960703075	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1121980,rs11671664	9	GSM736525
-0.974	0.0375715952518331	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11671664	10	GSM736512,GSM736561
-0.567	0.108316119401982	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs3810291	11	GSM816665,GSM736496,GSM736620
-0.412	0.142600241870401	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288,rs7498665	12	GSM816656
0.589	0.427440278968043	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10767664,rs11671664,rs29941,rs3810291,rs7498665	13	GSM816657
-1.049	0.0322068451757995	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664	14	GSM816653
0.231	0.310841712093224	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs12444979,rs2287019,rs29941	15	GSM816658
1.118	0.676775911591012	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs3810291,rs713586,rs7359397	16	GSM816659
0.627	0.464094352806015	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288,rs713586,rs7234864,rs7359397	17	GSM816648
-0.456	0.118138603497225	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664	18	GSM736626,GSM736595
-0.515	0.10976791478984	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs1561288	19	GSM736501,GSM736492
-0.878	0.065394725351638	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10838738,rs11671664,rs3810291	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.043	0.64799401832272	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs1121980,rs11671664,rs206936,rs2206734	21	GSM736604,GSM736529
-0.956	0.0477088758029246	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11671664,rs3810291	22	GSM736592,GSM1024760
