Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.770	0.708610808790277	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7682241	1	GSM816644
1.208	0.545698636340959	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7682241	2	Lookup
-0.489	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
1.598	0.650193373084111	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs9479482	4	Lookup
1.518	0.62571029922513	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7682241	5	Lookup
-0.477	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.425	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
2.440	0.908637376339754	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs7682241	8	GSM736558,GSM736635
1.788	0.704899059049994	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs7682241	9	GSM736525
1.700	0.678212776766983	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs7682241	10	GSM736512,GSM736561
1.005	0.471021735776356	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs7682241	11	GSM816665,GSM736496,GSM736620
1.635	0.668069742891489	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7682241	12	GSM816656
-0.469	4.82163733276643e-17	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
1.813	0.718059284128379	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7682241	14	GSM816653
3.811	1.69360004429642	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3118470,rs7682241	15	GSM816658
-0.528	4.34294517858653e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
