Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.788	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3734905	1	GSM816644
-1.468	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3734905	2	Lookup
0.847	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs6948404,rs2523608,rs2069084	3	Lookup
-1.011	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2523608	4	Lookup
1.438	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2304069,rs6948404,rs3815087,rs2069084	5	Lookup
-1.744	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.125	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2304069,rs2069084	7	GSM736607
0.341	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs13394720,rs16936455	8	GSM736558,GSM736635
0.987	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2523590,rs13394720,rs16936455	9	GSM736525
1.426	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2523590,rs2523608,rs13394720,rs16936455	10	GSM736512,GSM736561
-0.296	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2523608,rs13394720,rs16936455	11	GSM816665,GSM736496,GSM736620
-2.104	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-1.422	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3815087	13	GSM816657
-0.008	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13394720,rs558718	14	GSM816653
-1.182	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13394720	15	GSM816658
-1.094	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13394720	16	GSM816659
-1.515	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13394720	17	GSM816648
0.768	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2523608,rs2069084,rs4838508	18	GSM736626,GSM736595
-0.047	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs6948404,rs2069084	19	GSM736501,GSM736492
1.364	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2304069,rs4872511,rs1413191,rs13394720,rs16936455,rs2069084	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.863	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs6948404,rs4872511,rs2069084	21	GSM736604,GSM736529
0.083	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2523608,rs13394720,rs16936455	22	GSM736592,GSM1024760
0.340	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs6948404,rs2069084	23	GSM736502,GSM1024792
0.023	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs12198173,rs3734905	24	GSM736583,GSM736505
-0.823	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3734905	25	GSM816638
-0.985	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs2069084	26	GSM736509,GSM736554
-0.736	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs3815087	27	GSM1024745,GSM1024747
0.650	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs12198173,rs3815087,rs2069084	28	GSM736609,GSM736523
1.113	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs12198173,rs3815087,rs3734905,rs2069084	29	GSM736571,GSM736521
0.407	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs12198173,rs3815087	30	GSM736599,GSM736591
-0.649	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs12198173	31	GSM736577,GSM736573
0.083	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs12198173,rs3815087	32	GSM736611,GSM736624
