Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.091	0.16343066325429	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6922617	1	GSM816644
-0.770	0.0558952287754998	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6922617	2	Lookup
-0.223	0.136779339134373	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs769449	3	Lookup
1.747	0.904356304417356	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs6922617,rs769449	4	Lookup
-1.279	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-1.253	4.3429403569492e-11	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
1.985	1.06889510290636	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs429358,rs56131196,rs769449	7	GSM736607
0.125	0.216225414986096	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs769449	8	GSM736558,GSM736635
1.147	0.603046622482857	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs6857,rs769449	9	GSM736525
0.015	0.18837982931568	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs56131196	10	GSM736512,GSM736561
0.339	0.30027414832296	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	11	GSM816665,GSM736496,GSM736620
0.086	0.223592863687631	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs429358,rs769449	12	GSM816656
-1.041	0.0365271725499208	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	13	GSM816657
-0.122	0.15724380926874	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	14	GSM816653
-0.659	0.0664028486335299	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	15	GSM816658
-0.525	0.0839471939014413	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	16	GSM816659
-0.670	0.0621715562139105	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	17	GSM816648
0.802	0.457829513328135	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	18	GSM736626,GSM736595
0.055	0.198198092682396	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs769449	19	GSM736501,GSM736492
0.315	0.291682759290524	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs6922617,rs769449	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.028	0.178117708792779	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs6922617	21	GSM736604,GSM736529
-0.486	0.0897574361193483	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs769449	22	GSM736592,GSM1024760
0.087	0.205951189872516	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs769449	23	GSM736502,GSM1024792
-0.950	4.3429403569492e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.919	4.3429403569492e-11	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.056	0	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-1.140	0	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
-1.004	4.3429403569492e-11	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-1.123	4.3429403569492e-11	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-0.921	0	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
0.004	0.185752631473427	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs769449	31	GSM736577,GSM736573
-1.105	0	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
-1.071	0	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
-1.078	4.82163733276643e-17	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-0.149	0.151728527947114	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs59007384	35	GSM1024763
-1.026	0	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
-0.492	0.0895177113523981	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs769449	37	GSM816646,GSM736575,GSM736533
-1.114	0.0308379404048219	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs429358	38	Lookup
-1.118	4.34294517858653e-11	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-1.431	4.82163733276643e-17	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
0.033	0.210676263134202	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	41	GSM816636
-0.766	0	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
0.389	0.282624330920496	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs429358	43	GSM1008585
-0.083	0.164564492709693	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs769449	44	GSM736594,GSM736535
-0.539	0.0807516761536261	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs769449	45	GSM816669,GSM736634,GSM736552
-0.953	0	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
-0.464	0.090845319260531	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs769449	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.415	0.099507301367568	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.331	0.113501553817086	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-1.025	4.3429403569492e-11	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig		50	GSM736586,GSM736538
0.351	0.305615048330807	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs514716,rs769449	51	GSM816633,GSM816643,GSM736564,GSM736510
-1.151	8.68589035760736e-11	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
0.758	0.412270032151621	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs429358,rs769449	53	GSM736500,GSM736587
0.276	0.256595044194984	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs769449	54	GSM736600,GSM736493
-0.924	4.82163733276643e-17	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig		55	GSM736534,GSM736491
-0.931	0	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig		56	GSM736613,GSM736526,GSM736613,GSM736526
-1.170	0	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig		57	GSM736613,GSM736526,GSM736613,GSM736526
-0.488	0.0891582580100702	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs769449	58	GSM816649,GSM736580,GSM736506
-0.958	4.3429403569492e-11	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig		59	GSM736631,GSM736606
-0.987	0	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig		60	GSM736569,GSM736597
1.141	0.624426562615163	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs509208,rs769449	61	GSM736585,GSM736532
-0.973	0	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig		62	GSM736589,GSM736615
-0.985	4.3429548218612e-11	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig		63	GSM736621,GSM736550
-0.919	0	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig		64	GSM736632,GSM736528
0.198	0.234850638664439	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs769449	65	GSM736549,GSM736557
-0.959	0	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig		66	GSM736527,GSM736548
0.139	0.220314291816825	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig	rs514716	67	GSM736630,GSM736623
-0.849	0.0490182841205501	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	68	GSM816647
-0.942	4.34294517858653e-11	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig		69	GSM736543,GSM736539
0.128	0.217474951770719	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs769449	70	GSM736608,GSM736617
-0.810	0.0490847977792677	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs769449	71	Lookup
-1.211	0	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig		72	Lookup
0.683	0.410971131330302	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs429358,rs769449	73	GSM816629
-1.112	0	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig		74	GSM736547,GSM736515
-0.097	0.161635702207731	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig	rs6922617	75	GSM736495,GSM736636
0.830	0.467304474062436	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs429358,rs59007384,rs769449	76	GSM816628
-1.139	0	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig		77	GSM736602,GSM736572
-0.121	0.15724380926874	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs56131196	78	GSM736524,GSM736605
-0.822	0	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig		79	GSM736531,GSM736619
-0.929	4.82163733276643e-17	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig		80	GSM736579,GSM736576
-0.892	0	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig		81	GSM736494,GSM736601
0.134	0.218730221886052	HCF	Heart	HCF-DS12501.twopass.merge150.wgt10.zgt2.wig	rs769449	82	GSM736568,GSM736540
-1.016	0	HCM	Heart	HCM-DS12599.twopass.merge150.wgt10.zgt2.wig		83	GSM736516,GSM736504
-0.105	0.178269231573559	iPS	IPS	wgEncodeOpenChromDnaseIpsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs429358,rs769449	84	GSM816642
-0.944	1.30288307154251e-10	HRGEC	Kidney	HRGEC-DS13716.twopass.merge150.wgt10.zgt2.wig		85	GSM736499,GSM736618
-0.117	0.175464510440033	8988T	Liver	wgEncodeOpenChromDnase8988tAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	86	GSM816667
0.234	0.267079183465236	Hepatocytes	Liver	wgEncodeOpenChromDnaseHepatocytesAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	87	GSM816663
-0.497	0.0876208399968232	HepG2	Liver	HepG2-all.twopass.merge150.wgt10.zgt2.wig	rs769449	88	GSM816662,GSM736637,GSM736639
-0.643	0.0663138555701803	Huh-7.5	Liver	wgEncodeOpenChromDnaseHuh75AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	89	GSM816671
-0.530	0.0829421470126758	Huh-7	Liver	wgEncodeOpenChromDnaseHuh7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	90	GSM816641
-1.447	0	Stellate	Liver	wgEncodeOpenChromDnaseStellateAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		91	GSM816672
0.246	0.249082297887012	AG04450	Lung	AG04450-DS12270.twopass.merge150.wgt10.zgt2.wig	rs59007384	92	GSM736514,GSM736563
-0.971	0	HPF	Lung	HPF-DS13390.twopass.merge150.wgt10.zgt2.wig		93	GSM736574,GSM736503
-0.970	0	NHLF	Lung	NHLF-DS12829.twopass.merge150.wgt10.zgt2.wig		94	GSM736612,GSM736536
-1.402	4.34294517858653e-11	E_myoblast	Muscle	E_myoblast_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		95	Lookup
-0.625	0.0707240846890843	HSMM	Muscle	HSMM-all.twopass.merge150.wgt10.zgt2.wig	rs769449	96	GSM816650,GSM736560,GSM736553
-0.797	0.0503662517718157	HSMM	Muscle	HSMM_D-all.twopass.merge150.wgt10.zgt2.wig	rs769449	97	GSM816650,GSM736560,GSM736553
-0.918	0	SKMC	Muscle	SkMC-DS11949.twopass.merge150.wgt10.zgt2.wig		98	Lookup
-1.360	0	Myometr	Myometrium	wgEncodeOpenChromDnaseMyometrAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		99	GSM816630
-0.969	4.3429403569492e-11	NH-A	Nervous	NHA-DS12800.twopass.merge150.wgt10.zgt2.wig		100	GSM736544,GSM736584
-0.978	0	PANC-1	Pancreas	PANC1-DS9955.twopass.merge150.wgt10.zgt2.wig		101	GSM736517,GSM736519
-0.456	0.091454820382807	PanIsletD	Pancreas	wgEncodeOpenChromDnasePanisdAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	102	GSM816666
0.170	0.24733388357806	PanIslets	Pancreas	wgEncodeOpenChromDnasePanisletsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs59007384,rs769449	103	GSM816660
-0.150	0.15027969416219	HPDE6-E6E7	Pancreatic duct	wgEncodeOpenChromDnaseHpde6e6e7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	104	GSM816639
-0.476	0.0903595801372226	LNCaP	Prostate	LNCap-all.twopass.merge150.wgt10.zgt2.wig	rs769449	105	GSM816637,GSM816634,GSM736565,GSM736603
-0.542	0.0847375271516772	LNCaP	Prostate	wgEncodeOpenChromDnaseLncapAndroAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	106	GSM816637,GSM816634,GSM736565,GSM736603
0.120	0.215295926172394	PrEC	Prostate	PrEC-DS12098.hg19.twopass.merge150.wgt10.zgt2.wig	rs769449	107	GSM1024742,GSM1024743
-0.100	0.161635702207731	RWPE1	Prostate	RWPE_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs769449	108	GSM1008595
0.282	0.259291797663156	AG04449	Skin	AG04449-DS12319.twopass.merge150.wgt10.zgt2.wig	rs509208	109	GSM736562,GSM736590
-0.898	0	AG09309	Skin	AG09309-DS12352.twopass.merge150.wgt10.zgt2.wig		110	GSM736551,GSM736616
