Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.152	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs237450,rs10494366,rs4698433,rs1380181	1	GSM816644
0.381	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs231906,rs7616330,rs11663697,rs12296050,rs4698433,rs12576239,rs2074518	2	Lookup
1.161	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1546498,rs3757458,rs7616330,rs8049607,rs11663697,rs12576239	3	Lookup
0.485	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs2074238,rs7616330,rs12576239,rs2074518	4	Lookup
0.289	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs7616330,rs8049607,rs4698433,rs12576239	5	Lookup
-0.028	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1320976,rs2074238,rs4698433,rs12576239	6	GSM816664
-1.229	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3757458	7	GSM736607
-1.152	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11752626	8	GSM736558,GSM736635
-0.729	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1320976,rs4698433	9	GSM736525
-0.672	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4698433,rs11752626	10	GSM736512,GSM736561
-0.771	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2579330,rs237450,rs11663697,rs4698433	11	GSM816665,GSM736496,GSM736620
1.189	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs231906,rs11663697,rs12296050,rs4698433,rs16928297,rs2074518,rs10027628	12	GSM816656
0.877	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4557101,rs1320976,rs2074238,rs789852,rs231906,rs11663697,rs4698433,rs16928297	13	GSM816657
0.331	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs846111,rs789852,rs4698433	14	GSM816653
-0.623	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7616330,rs11663697,rs4698433,rs16928297	15	GSM816658
-0.263	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs11663697,rs4698433,rs10027628	16	GSM816659
-0.420	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs846111,rs8045405,rs11663697,rs12296050,rs4698433	17	GSM816648
1.904	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs2074238,rs7616330,rs8049607,rs11663697,rs4698433,rs12576239,rs2074518	18	GSM736626,GSM736595
1.167	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2579330,rs2968863,rs7616330,rs11663697,rs4698433,rs4725982	19	GSM736501,GSM736492
0.644	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs237450,rs846111,rs2968863,rs7616330,rs11663697,rs4698433,rs1380181,rs4725982	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.034	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs7616330,rs8049607,rs4698433,rs12576239	21	GSM736604,GSM736529
0.875	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs237450,rs7616330,rs8049607,rs11663697,rs4698433,rs11752626,rs12576239	22	GSM736592,GSM1024760
0.798	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2074238,rs7616330,rs4698433,rs12576239	23	GSM736502,GSM1024792
0.799	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs652889,rs7616330,rs4698433,rs1380181	24	GSM736583,GSM736505
0.293	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs652889,rs4698433,rs2074518	25	GSM816638
1.244	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs7616330,rs11663697,rs4698433,rs1380181,rs2074518,rs7729539	26	GSM736509,GSM736554
1.320	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1320976,rs846111,rs10488031,rs7616330,rs4698433,rs1380181	27	GSM1024745,GSM1024747
2.098	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs3757458,rs846111,rs10488031,rs7616330,rs11663697,rs4698433,rs1380181,rs1483012	28	GSM736609,GSM736523
