Zscore	Cell	Tissue	File	SNPs	Number	Accession
-1.561	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
0.388	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs10885122,rs10830963	2	Lookup
-0.112	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs3736594	3	Lookup
1.863	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs6048205,rs2293941,rs340874	4	Lookup
1.881	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs4607517,rs2293941,rs340874	5	Lookup
0.454	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs4841132	6	GSM816664
-0.007	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893	7	GSM736607
0.421	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893	8	GSM736558,GSM736635
-0.638	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11603334	9	GSM736525
1.485	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs11558471,rs4607517	10	GSM736512,GSM736561
-0.797	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893	11	GSM816665,GSM736496,GSM736620
0.488	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs10849893,rs340874,rs1371614	12	GSM816656
0.428	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11603334,rs11041816,rs10849893,rs6048205	13	GSM816657
