Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.279	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10159477,rs10445033,rs17616316,rs737092,rs11248850	1	GSM816644
0.626	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs5754217,rs12718598,rs9386791,rs762516,rs2075672,rs140522,rs3811444,rs11248850	2	Lookup
2.439	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs579459,rs741702,rs1800562,rs140522,rs10445033,rs1050828,rs10849023	3	Lookup
2.035	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs3916164,rs1800562,rs2075672,rs855791,rs1050828,rs10849023	4	Lookup
5.435	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11104870,rs2572207,rs12718598,rs579459,rs901683,rs741702,rs2075672,rs10445033,rs17616316,rs1008084,rs737092,rs11248850,rs1122794,rs10849023	5	Lookup
-1.275	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs2075672	6	GSM816664
2.712	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs12718598,rs901683,rs741702,rs2075672,rs10445033,rs737092,rs11248850,rs3184504	7	GSM736607
2.626	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs3892630,rs901683,rs1800562,rs2075672,rs9389269,rs1408272,rs10207392	8	GSM736558,GSM736635
2.460	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs857684,rs901683,rs2075672,rs1408272,rs11248850,rs1122794,rs3184504,rs10207392	9	GSM736525
2.008	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2572207,rs901683,rs2075672,rs17616316,rs9389269,rs1408272,rs10207392	10	GSM736512,GSM736561
0.683	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs901683,rs2075672,rs140522,rs17616316,rs1408272,rs3184504,rs10207392	11	GSM816665,GSM736496,GSM736620
-1.155	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11190134,rs741702,rs2075672,rs17616316	12	GSM816656
1.721	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11190134,rs12718598,rs579459,rs741702,rs2075672,rs13335629,rs737092,rs855791,rs3811444,rs11248850,rs10480300	13	GSM816657
0.949	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs741702,rs2075672,rs17616316,rs1408272,rs11248850,rs10849023	14	GSM816653
-0.511	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs741702,rs2075672,rs17616316,rs11248850	15	GSM816658
0.746	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9386791,rs901683,rs741702,rs2075672,rs17616316,rs855791,rs11248850	16	GSM816659
1.563	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs12718598,rs9386791,rs901683,rs741702,rs2075672,rs737092,rs855791,rs1050828,rs1122794	17	GSM816648
2.630	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs3892630,rs741702,rs2075672,rs140522,rs10445033,rs1050828,rs11248850,rs3184504	18	GSM736626,GSM736595
1.271	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs901683,rs2075672,rs17616316,rs1008084,rs11248850	19	GSM736501,GSM736492
3.955	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs5754217,rs2572207,rs12718598,rs579459,rs901683,rs12530845,rs2075672,rs140522,rs10445033,rs17616316,rs737092,rs11717368,rs1408272,rs11248850,rs10207392	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.533	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12718598,rs901683,rs741702,rs10445033,rs17616316,rs737092,rs11248850,rs10480300	21	GSM736604,GSM736529
