Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.474	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs33980500,rs2082412	1	GSM816644
2.404	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs20541,rs495337,rs280519,rs702873,rs1076160,rs2546890,rs12720356	2	Lookup
0.472	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs495337,rs610604,rs2546890	3	Lookup
-0.379	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs20541,rs2546890	4	Lookup
-0.526	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs17728338,rs2546890	5	Lookup
0.235	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs280519,rs2546890,rs12720356	6	GSM816664
-1.368	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
0.244	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs20541,rs2546890	8	GSM736558,GSM736635
1.432	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs610604,rs4649203,rs2546890	9	GSM736525
3.221	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs20541,rs12580100,rs8016947,rs17728338,rs4649203,rs4085613	10	GSM736512,GSM736561
2.975	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs20541,rs12580100,rs610604,rs8016947,rs2066808,rs4795067,rs2546890,rs4085613	11	GSM816665,GSM736496,GSM736620
0.794	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs8016947,rs17728338,rs2546890,rs12720356	12	GSM816656
0.157	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs495337,rs17728338,rs280519,rs2546890	13	GSM816657
0.466	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs3213094,rs17728338	14	GSM816653
1.120	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs8016947,rs17728338,rs280519,rs12720356	15	GSM816658
1.373	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs17728338,rs280519,rs10782001,rs12720356	16	GSM816659
2.643	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs33980500,rs17728338,rs4649203,rs10782001,rs1076160,rs2546890,rs12720356	17	GSM816648
2.362	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12580100,rs495337,rs610604,rs33980500,rs17728338,rs2546890	18	GSM736626,GSM736595
2.292	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12580100,rs495337,rs610604,rs17728338,rs2546890,rs2082412	19	GSM736501,GSM736492
0.456	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs7993214,rs12580100,rs8016947,rs33980500,rs4085613	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
