Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.433	0.300622079553265	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3118515	1	GSM816644
0.857	0.484522721703675	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3132306,rs9938149	2	Lookup
-0.885	4.82163733276643e-17	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.903	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.851	4.3429403569492e-11	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
0.324	0.265988363327791	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2721051	6	GSM816664
-0.748	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.680	4.82163733276643e-17	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.747	4.3429403569492e-11	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
0.562	0.342520961421901	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2721051	10	GSM736512,GSM736561
0.021	0.189710542537688	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2721051	11	GSM816665,GSM736496,GSM736620
2.358	1.15829096370888	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447690,rs3118515,rs3132306	12	GSM816656
3.077	1.65834411091129	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2721051,rs2755237,rs3118515,rs3132306	13	GSM816657
0.517	0.325808481444263	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3132306	14	GSM816653
