Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.428	4.34294517858653e-11	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-1.246	0.0210662239762642	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6041	2	Lookup
-0.692	0.0664099485717841	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1318606	3	Lookup
-0.077	0.195766232991101	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1318606,rs3024321	4	Lookup
-1.540	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
0.166	0.260656183041211	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10982156,rs1318606	6	GSM816664
-1.350	4.34295000022386e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.373	0.113366408394136	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1318606	8	GSM736558,GSM736635
-0.470	0.0962514932235803	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1318606	9	GSM736525
-0.525	0.0867428822023799	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1318606	10	GSM736512,GSM736561
0.283	0.310879353548559	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10665,rs1318606,rs3024321	11	GSM816665,GSM736496,GSM736620
0.181	0.272818233964863	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs505922,rs6041,rs8176743	12	GSM816656
0.055	0.238700519040935	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10982156,rs1318606,rs6041	13	GSM816657
0.176	0.265661115726545	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10982156,rs1318606	14	GSM816653
1.094	0.632032019370771	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1318606,rs505922,rs555212,rs8176743	15	GSM816658
0.571	0.399619419860094	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1318606,rs505922,rs651007	16	GSM816659
-0.396	0.128164835841074	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1318606,rs6041	17	GSM816648
-1.496	4.3429403569492e-11	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.529	0.0886470736495473	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1318606	19	GSM736501,GSM736492
0.190	0.279049308210654	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10665,rs1318606,rs651007	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.562	0.0813828857854673	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs1318606	21	GSM736604,GSM736529
0.406	0.350028652746743	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10665,rs1318606,rs8176743	22	GSM736592,GSM1024760
-0.447	0.100679536030659	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs8176743	23	GSM736502,GSM1024792
-0.344	0.118363195897067	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs9533425	24	GSM736583,GSM736505
-0.373	0.110614991663439	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9533425	25	GSM816638
-0.602	0.076096044312505	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs9533425	26	GSM736509,GSM736554
-0.544	0.088433326539183	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs3024321	27	GSM1024745,GSM1024747
-1.287	0	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-1.501	4.34293553531186e-11	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
