Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.855	0.426437850565834	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4227	1	GSM816644
-0.980	4.34294517858653e-11	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		2	Lookup
2.359	1.10002437658388	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4227,rs660895	3	Lookup
0.633	0.339402459450835	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs660895	4	Lookup
2.149	1.02667975406057	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3803800,rs660895	5	Lookup
2.185	1.0953022070739	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12537,rs4227	6	GSM816664
-0.714	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
1.548	0.630172288917247	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs660895	8	GSM736558,GSM736635
2.547	1.21657697333713	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3803800,rs660895	9	GSM736525
0.929	0.440297599525799	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs660895	10	GSM736512,GSM736561
3.014	1.59581743332449	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12537,rs3803800,rs660895	11	GSM816665,GSM736496,GSM736620
0.467	0.296702605783448	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3803800	12	GSM816656
-0.914	4.82163733276643e-17	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
-0.674	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.933	0.924246612763443	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3803800,rs4227	15	GSM816658
0.581	0.3297014059916	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4227	16	GSM816659
-0.922	0	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.734	0.378833940058109	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4227	18	GSM736626,GSM736595
-0.710	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
1.487	0.740891645067831	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs3803800,rs4227	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.913	0.435331542164729	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs4227	21	GSM736604,GSM736529
1.915	0.900367510594749	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs3803800,rs660895	22	GSM736592,GSM1024760
1.291	0.55879248772503	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs660895	23	GSM736502,GSM1024792
