Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.641	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs7071206,rs4817775,rs600231,rs9466056,rs7932354	1	GSM816644
0.401	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7084921,rs7524102,rs7071206,rs2887571,rs600231,rs9594738,rs9921222,rs7932354	2	Lookup
2.732	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11623869,rs2016266,rs7071206,rs13336428,rs4817775,rs600231,rs3736228,rs227584,rs9594738,rs9921222,rs7932354	3	Lookup
4.036	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3755955,rs2908004,rs4985155,rs11755164,rs9533090,rs4792909,rs7071206,rs13336428,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	4	Lookup
2.218	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3755955,rs2908004,rs4727338,rs8057551,rs4817775,rs600231,rs9594738,rs9921222,rs7932354,rs11951031	5	Lookup
0.846	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7084921,rs4792909,rs13336428,rs600231,rs9921222,rs7932354	6	GSM816664
-0.518	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs600231,rs9921222,rs7932354	7	GSM736607
1.328	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs600231,rs9594738,rs7932354	8	GSM736558,GSM736635
2.212	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs7071206,rs13336428,rs4817775,rs600231,rs9594738,rs7932354,rs11951031	9	GSM736525
3.124	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs10835187,rs4817775,rs600231,rs3736228,rs9594738,rs2165468,rs7932354,rs11951031	10	GSM736512,GSM736561
1.715	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs11623869,rs2908004,rs7071206,rs13336428,rs4820539,rs4817775,rs600231,rs227584,rs9594738,rs9921222,rs7932354	11	GSM816665,GSM736496,GSM736620
0.406	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs4792909,rs2016266,rs4817775,rs600231,rs9921222,rs7932354	12	GSM816656
0.156	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs13336428,rs600231,rs3736228,rs9594738,rs9921222,rs7932354	13	GSM816657
0.094	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs9594738,rs7932354	14	GSM816653
0.749	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs2016266,rs7071206,rs13336428,rs600231,rs9594738,rs9921222,rs7932354	15	GSM816658
1.271	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7524102,rs4792909,rs7071206,rs13336428,rs600231,rs9594738,rs9921222,rs7932354	16	GSM816659
0.723	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3755955,rs2908004,rs4792909,rs7071206,rs13336428,rs600231,rs3736228,rs9594738,rs7932354	17	GSM816648
1.499	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3790160,rs7017914,rs4817775,rs600231,rs9466056,rs9594738,rs9921222,rs7932354	18	GSM736626,GSM736595
0.020	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs4820539,rs4817775,rs9594738,rs7932354	19	GSM736501,GSM736492
1.184	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs2016266,rs7071206,rs13336428,rs4820539,rs4817775,rs600231,rs9594738,rs9921222,rs7932354,rs11951031	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.760	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs7017914,rs7071206,rs600231,rs9466056,rs9921222,rs7932354	21	GSM736604,GSM736529
1.814	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs3755955,rs10416218,rs2908004,rs4985155,rs7071206,rs13336428,rs4820539,rs600231,rs9594738,rs9921222,rs7932354	22	GSM736592,GSM1024760
2.971	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs1346004,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	23	GSM736502,GSM1024792
1.435	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2062377,rs13336428,rs4817775,rs600231,rs9594738,rs7932354	24	GSM736583,GSM736505
0.164	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs2062377,rs7071206,rs9594738,rs7932354	25	GSM816638
2.289	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs3790160,rs2908004,rs4817775,rs600231,rs9466056,rs9594738,rs7932354,rs11951031,rs4790881	26	GSM736509,GSM736554
-0.517	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2016266,rs600231,rs7932354	27	GSM1024745,GSM1024747
1.010	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1373004,rs4817775,rs600231,rs7521902,rs7932354,rs4233949	28	GSM736609,GSM736523
0.247	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs4985155,rs1373004,rs4817775,rs600231,rs7812088,rs7932354	29	GSM736571,GSM736521
0.491	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs9594738,rs9921222,rs7932354	30	GSM736599,GSM736591
1.277	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs1373004,rs17131547,rs7524102,rs600231,rs3736228,rs7932354,rs4233949	31	GSM736577,GSM736573
0.005	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2273061,rs1373004,rs2016266,rs7932354	32	GSM736611,GSM736624
3.827	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs2273061,rs3790160,rs1053051,rs1373004,rs17638544,rs7071206,rs13336428,rs600231,rs227584,rs9594738,rs7932354,rs4233949	33	GSM736542,GSM736511
-0.695	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs7932354,rs11864477	34	GSM736507,GSM736627
-0.391	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs1373004,rs7524102,rs600231,rs7932354	35	GSM1024763
1.031	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs2062377,rs4817775,rs600231,rs9594738,rs7932354	36	GSM736555,GSM736614
2.412	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs11623869,rs2908004,rs1373004,rs17131547,rs7071206,rs13336428,rs4820539,rs4817775,rs600231,rs9594738,rs9921222,rs7932354,rs4233949	37	GSM816646,GSM736575,GSM736533
0.657	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs1878526,rs7071206,rs13336428,rs4817775,rs884205,rs227584,rs9921222,rs7932354,rs2214681	38	Lookup
1.024	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs3790160,rs2908004,rs736825,rs4817775,rs7521902,rs9466056,rs7932354	39	Lookup
1.013	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1566045,rs4792909,rs2016266,rs7071206,rs13336428,rs4817775,rs2887571,rs600231,rs7932354	40	GSM816668
0.121	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3755955,rs10416218,rs2908004,rs11755164,rs7071206,rs884205,rs9921222,rs7932354,rs4233949	41	GSM816636
0.478	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs917727,rs7524102,rs3801387,rs4817775,rs7932354	42	GSM736522,GSM736570
0.589	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs3736228,rs7932354	43	GSM1008585
0.942	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2273061,rs11623869,rs2908004,rs13336428,rs4817775,rs600231,rs9466056,rs7932354	44	GSM736594,GSM736535
0.336	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs7071206,rs13336428,rs4820539,rs600231,rs9594738,rs9921222,rs7932354	45	GSM816669,GSM736634,GSM736552
0.022	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs13336428,rs600231,rs7932354	46	GSM736628,GSM736541
2.157	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs4985155,rs2016266,rs7071206,rs13336428,rs4820539,rs4817775,rs344081,rs600231,rs9466056,rs9594738,rs9921222,rs7932354	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.748	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4985155,rs2016266,rs7071206,rs6909279,rs9466056,rs10048146,rs7932354	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.816	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1373004,rs7071206,rs7521902,rs7932354	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-0.521	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs9466056,rs7932354	50	GSM736586,GSM736538
1.411	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs11623869,rs2908004,rs2062377,rs7071206,rs13336428,rs4820539,rs4817775,rs600231,rs9466056,rs9594738,rs9921222,rs7932354	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.390	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17131547,rs4817775,rs9466056,rs7932354	52	GSM816633,GSM816643,GSM736564,GSM736510
0.931	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2908004,rs1286083,rs3736228,rs7932354	53	GSM736500,GSM736587
1.748	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs3801387,rs13336428,rs4817775,rs600231,rs7932354	54	GSM736600,GSM736493
1.293	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs2062377,rs17131547,rs4817775,rs600231,rs884205,rs9466056,rs7932354	55	GSM736534,GSM736491
1.619	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs4792909,rs13336428,rs600231,rs9466056,rs7932354	56	GSM736613,GSM736526,GSM736613,GSM736526
1.313	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs11623869,rs2062377,rs7071206,rs13336428,rs4817775,rs600231,rs10048146,rs7932354	57	GSM736613,GSM736526,GSM736613,GSM736526
