Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.489	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330	1	GSM701525
1.780	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs6430538,rs12726330,rs415430,rs1491942,rs11868035	2	GSM701526
1.319	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs10464059,rs11248060,rs11868035	3	GSM665837
0.376	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1296028,rs11248060,rs11868035	4	GSM701516
0.839	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs11012,rs12726330,rs823128,rs11248060,rs11868035	5	GSM701489
1.935	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1296028,rs823128,rs10464059,rs1491942,rs11248060	6	GSM701491
0.661	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs11865038,rs7617877,rs1491942	7	GSM665812
0.329	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1491942,rs11248060	8	GSM665839
0.181	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs823128,rs11248060,rs11868035	9	GSM817166
0.363	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs11248060,rs11868035	10	GSM701539
0.452	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs10464059,rs11248060,rs11868035	11	GSM817160
2.093	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1296028,rs823128,rs10464059,rs2102808,rs11248060,rs11868035,rs823156	12	GSM665813
0.716	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs10464059,rs11248060	13	GSM665838
1.230	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs823128,rs10464059,rs11248060,rs11868035	14	GSM701499
0.748	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs10464059,rs11248060	15	GSM701540
-0.007	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11248051,rs12726330,rs1491942	16	GSM701503
-0.455	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs1491942	17	GSM701541
-0.584	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1491942	18	GSM701492
0.684	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs7617877,rs1491942,rs11868035	19	GSM701493
1.080	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs823128,rs1491942,rs11248060,rs11868035	20	GSM701507
0.186	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs12726330,rs17115100,rs2102808,rs11248060,rs11868035	21	GSM701500
-0.069	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs2242330,rs12726330,rs1491942	22	GSM530664
