Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.474	0.0950910699438833	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7072268	1	GSM816644
-0.552	0.0982118908209158	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs16926246,rs6474359	2	Lookup
-0.443	0.0981839152569734	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562	3	Lookup
0.336	0.312744936571649	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs855791	4	Lookup
0.205	0.271508805323597	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs13266634,rs4737009	5	Lookup
-1.424	4.34293553531186e-11	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
1.504	0.816260095501935	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs13266634,rs16926246,rs4737009	7	GSM736607
-0.145	0.157591805578613	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1800562	8	GSM736558,GSM736635
-1.138	4.82163733276643e-17	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-1.182	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-1.650	8.68588553597002e-11	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
-1.895	0	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
0.078	0.243309397452531	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1799884,rs6474359,rs855791	13	GSM816657
-0.487	0.0932391625263379	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6474359	14	GSM816653
-1.744	4.34295000022386e-11	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		15	GSM816658
-0.039	0.203820568483155	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6474359,rs855791	16	GSM816659
-0.278	0.148934741399409	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6474359,rs855791	17	GSM816648
-1.318	0	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-1.230	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.356	0.334471125383196	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs13266634,rs4737009,rs552976	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.319	0.119613105935159	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs16926246	21	GSM736604,GSM736529
-0.835	0.0477592555474684	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1800562	22	GSM736592,GSM1024760
-0.191	0.148911183018384	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs16926246	23	GSM736502,GSM1024792
-0.180	0.149676577199327	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs7072268	24	GSM736583,GSM736505
