Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.943	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs6867913,rs2284033,rs4129267,rs2073643	1	GSM816644
0.303	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs6867913,rs1101999,rs4129267	2	Lookup
0.633	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4845783,rs4129267,rs2073643	3	Lookup
0.492	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs9272346,rs1101999	4	Lookup
-0.112	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4845783,rs2073643	5	Lookup
-0.110	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs3894194,rs4129267	6	GSM816664
0.411	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs744910,rs4129267	7	GSM736607
-0.253	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686	8	GSM736558,GSM736635
-0.478	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686	9	GSM736525
0.104	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs9272346	10	GSM736512,GSM736561
1.316	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs9272346,rs7216389,rs4129267,rs2073643,rs11071559	11	GSM816665,GSM736496,GSM736620
-0.732	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs4129267	12	GSM816656
0.582	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs6867913,rs2305480,rs3894194,rs4129267	13	GSM816657
0.535	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs9272346,rs2073643	14	GSM816653
1.056	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs2305480,rs7216389,rs4129267,rs2073643	15	GSM816658
-1.468	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617	16	GSM816659
0.969	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs11078927,rs4129267,rs2073643,rs11071559	17	GSM816648
0.049	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4845783,rs4129267	18	GSM736626,GSM736595
0.047	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs11745587,rs2069408	19	GSM736501,GSM736492
0.450	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs7216389,rs4129267,rs2073643,rs11071559	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.176	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4845783,rs4129267	21	GSM736604,GSM736529
1.643	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs1295686,rs7216389,rs4129267,rs2073643,rs11071559,rs3771166	22	GSM736592,GSM1024760
-0.180	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs2073643	23	GSM736502,GSM1024792
1.687	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4129267,rs2073643,rs1837253,rs3771180	24	GSM736583,GSM736505
0.336	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs4129267,rs1837253	25	GSM816638
-0.078	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs4129267,rs2073643,rs3771180	26	GSM736509,GSM736554
1.807	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs4815617,rs7216389,rs4129267,rs2073643,rs3771180	27	GSM1024745,GSM1024747
