Zscore	Cell	Tissue	File	SNPs	Number	Accession
-1.223	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4846922	1	GSM816644
-0.716	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2292354,rs886427,rs1127065,rs2266788	2	Lookup
-1.599	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2266788	3	Lookup
0.340	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1535,rs157582,rs2217332,rs8060686	4	Lookup
-1.455	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2266788	5	Lookup
-2.147	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.266	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs886427,rs2217332,rs174546	7	GSM736607
0.266	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2835810,rs2217332,rs2266788	8	GSM736558,GSM736635
-0.496	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2217332,rs496300	9	GSM736525
-0.628	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2217332,rs174546	10	GSM736512,GSM736561
0.359	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1535,rs157582,rs2217332,rs2075290,rs964184	11	GSM816665,GSM736496,GSM736620
-1.521	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1127065,rs2266788	12	GSM816656
-0.126	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2292354,rs1127065,rs174546,rs2266788,rs8060686	13	GSM816657
-1.370	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs174546	14	GSM816653
-0.778	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2292354,rs1127065,rs2266788	15	GSM816658
-1.216	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1127065,rs2266788	16	GSM816659
-0.311	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2075290,rs2266788,rs8060686,rs10830962	17	GSM816648
2.006	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs886427,rs2217332,rs295,rs964184,rs174546,rs268,rs782590	18	GSM736626,GSM736595
-0.780	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs886427,rs1085093	19	GSM736501,GSM736492
