Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.427	1.30083409052859	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs1799945,rs2932538	1	GSM701525
1.147	0.629060913674444	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs2932538,rs3184504	2	GSM701526
2.108	1.16365236338911	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs16948048,rs2932538,rs3184504	3	GSM665837
2.228	1.26023125330467	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2932538,rs3184504	4	GSM701516
2.147	1.2432963220064	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs13082711,rs1378942,rs16948048,rs2932538	5	GSM701489
2.533	1.4677350243191	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs13082711,rs1378942,rs16948048,rs2932538	6	GSM701491
1.661	0.916609694572953	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2932538	7	GSM665812
2.925	1.65351958273223	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2681472,rs2932538	8	GSM665839
3.159	1.9173410600819	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs16948048,rs1799945,rs2932538,rs3184504,rs6495122	9	GSM817166
3.201	1.78909439153319	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2932538,rs6495122	10	GSM701539
2.441	1.41215063829361	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2932538,rs6015450	11	GSM817160
2.917	1.8152752404887	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs13082711,rs16948048,rs2932538,rs3184504,rs6015450	12	GSM665813
2.528	1.32664311213154	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs16948048,rs2932538	13	GSM665838
