Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.008	0.184666313787287	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10495928	1	GSM816644
-0.043	0.187616888706883	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10224002,rs16926246	2	Lookup
-0.009	0.180771954963491	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562	3	Lookup
1.169	0.621447506286292	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs855791	4	Lookup
-1.101	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-1.261	4.34295000022386e-11	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.249	0.247790748717763	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs16926246	7	GSM736607
0.457	0.303394693898023	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1800562	8	GSM736558,GSM736635
-0.852	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.846	4.82163733276643e-17	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-1.348	0	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
-1.741	0	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-0.366	0.117201244824953	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10224002,rs855791	13	GSM816657
-1.067	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
0.166	0.245960253420861	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11065987,rs198846	15	GSM816658
