Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.531	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720,rs653178	1	GSM816644
0.226	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs911119,rs7805747,rs10794720	2	Lookup
1.133	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs911119,rs267734	3	Lookup
0.320	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs267734	4	Lookup
0.347	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720	5	Lookup
2.052	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs1260326,rs10794720,rs12917707	6	GSM816664
1.827	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs911119,rs10794720	7	GSM736607
1.018	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720	8	GSM736558,GSM736635
1.677	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs12917707,rs653178	9	GSM736525
0.878	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs653178	10	GSM736512,GSM736561
0.427	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs7805747,rs10794720	11	GSM816665,GSM736496,GSM736620
1.224	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs1260326,rs13538,rs911119,rs10794720	12	GSM816656
0.738	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs1260326,rs13538,rs10794720	13	GSM816657
2.205	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs1260326,rs10794720,rs12917707	14	GSM816653
0.464	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs1260326,rs10794720	15	GSM816658
-0.520	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720	16	GSM816659
1.661	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs1260326,rs7805747,rs10794720,rs17319721,rs10774021	17	GSM816648
1.411	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs911119,rs10794720	18	GSM736626,GSM736595
0.130	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720	19	GSM736501,GSM736492
1.425	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6431731,rs6420094,rs7805747,rs10794720,rs653178	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.748	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720	21	GSM736604,GSM736529
0.635	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs7805747,rs10794720	22	GSM736592,GSM1024760
0.134	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720	23	GSM736502,GSM1024792
1.124	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs17319721	24	GSM736583,GSM736505
1.840	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720,rs17319721	25	GSM816638
2.131	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720,rs17319721,rs653178	26	GSM736509,GSM736554
1.538	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs10794720,rs17319721	27	GSM1024745,GSM1024747
1.029	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs17319721	28	GSM736609,GSM736523
1.222	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs17319721,rs653178	29	GSM736571,GSM736521
0.390	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720	30	GSM736599,GSM736591
1.147	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs17319721	31	GSM736577,GSM736573
0.126	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720	32	GSM736611,GSM736624
0.788	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs653178	33	GSM736542,GSM736511
0.896	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs17319721	34	GSM736507,GSM736627
2.284	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs6420094,rs10794720,rs17319721,rs11959928,rs653178	35	GSM1024763
1.651	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720,rs17319721	36	GSM736555,GSM736614
1.112	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs6431731,rs6420094,rs7805747,rs10794720,rs17319721	37	GSM816646,GSM736575,GSM736533
-0.805	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720	38	Lookup
0.930	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs881858,rs6420094,rs10794720	39	Lookup
