Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.989	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
1.679	0.82673486766453	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12203592,rs1805007,rs4911414	2	Lookup
0.144	0.219677322015421	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1805007	3	Lookup
2.335	1.25306253981993	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11648785,rs12203592,rs1805007	4	Lookup
0.065	0.199892112547119	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1805007	5	Lookup
0.092	0.206541484270633	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12210050	6	GSM816664
0.264	0.250190708070353	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12203592	7	GSM736607
0.465	0.302500786360114	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1805007	8	GSM736558,GSM736635
0.344	0.27456205296248	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs12203592	9	GSM736525
0.317	0.266388568464229	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs12203592	10	GSM736512,GSM736561
0.850	0.465212277810656	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12203592,rs12913832	11	GSM816665,GSM736496,GSM736620
-0.389	0.112892966343878	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12210050	12	GSM816656
-0.554	0.0853068960589599	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12210050	13	GSM816657
-1.068	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-0.244	0.134933656502695	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12210050	15	GSM816658
-1.220	0	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-1.369	4.34295000022386e-11	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.131	0.215605229609592	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4911414	18	GSM736626,GSM736595
0.281	0.256595044194984	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12210050	19	GSM736501,GSM736492
-0.255	0.130257524752971	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs12913832	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.565	0.756207958992181	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12210050,rs1805007	21	GSM736604,GSM736529
0.914	0.495586091858968	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs12913832,rs1805007	22	GSM736592,GSM1024760
0.375	0.281332651996281	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1805007	23	GSM736502,GSM1024792
-0.865	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.900	0	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.976	0	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
1.395	0.695430676038207	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs11648785,rs12210050	27	GSM1024745,GSM1024747
-0.931	4.82163733276643e-17	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-1.027	0	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-0.808	4.3429403569492e-11	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
0.317	0.263995058141842	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs12210050	31	GSM736577,GSM736573
-0.956	0	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
0.275	0.256213138293997	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs12210050	33	GSM736542,GSM736511
0.300	0.263599360629922	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs11648785	34	GSM736507,GSM736627
1.362	0.683424207638108	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs11648785,rs12210050	35	GSM1024763
-0.996	0	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
-0.164	0.148236801379897	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs12913832	37	GSM816646,GSM736575,GSM736533
-0.705	0.0692227479390441	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12203592	38	Lookup
-1.013	4.82163733276643e-17	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-1.279	8.68589035760736e-11	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
-0.484	0.0923161748246101	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12203592	41	GSM816636
-0.743	4.34295000022386e-11	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
-0.805	8.68588553597002e-11	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
0.091	0.206836045396804	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs1805007	44	GSM736594,GSM736535
0.817	0.462735037259821	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs12913832,rs1805007	45	GSM816669,GSM736634,GSM736552
-0.844	4.34294517858653e-11	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
-0.191	0.143064320461575	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs12913832	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.039	0.542295431182264	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11648785,rs12203592	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-1.065	0	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.256	0.250936378398496	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs11648785	50	GSM736586,GSM736538
-0.223	0.135668048480788	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs12913832	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.946	0	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
0.045	0.194312850167733	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs1805007	53	GSM736500,GSM736587
-0.823	0	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig		54	GSM736600,GSM736493
-0.849	0	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig		55	GSM736534,GSM736491
-0.813	0	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig		56	GSM736613,GSM736526,GSM736613,GSM736526
0.138	0.21904538200574	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs11648785	57	GSM736613,GSM736526,GSM736613,GSM736526
-0.147	0.151936477817259	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs12913832	58	GSM816649,GSM736580,GSM736506
-0.864	4.34295000022386e-11	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig		59	GSM736631,GSM736606
-0.902	0	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig		60	GSM736569,GSM736597
0.339	0.271254403094213	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs11648785	61	GSM736585,GSM736532
-0.889	4.34295000022386e-11	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig		62	GSM736589,GSM736615
0.366	0.284362340325837	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs12210050	63	GSM736621,GSM736550
-0.857	4.34295000022386e-11	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig		64	GSM736632,GSM736528
-0.885	4.82163733276643e-17	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig		65	GSM736549,GSM736557
-0.911	4.3429403569492e-11	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig		66	GSM736527,GSM736548
-0.941	4.34294517858653e-11	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig		67	GSM736630,GSM736623
-0.422	0.102075825763379	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11648785	68	GSM816647
-0.881	0	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig		69	GSM736543,GSM736539
-0.892	4.3429403569492e-11	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig		70	GSM736608,GSM736617
0.537	0.356425116325144	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs12913832,rs1805007	71	Lookup
-0.032	0.17712771675742	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs1805007	72	Lookup
-0.025	0.179113953550152	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12210050	73	GSM816629
0.318	0.263995058141842	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig	rs1805007	74	GSM736547,GSM736515
-0.983	0	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig		75	GSM736495,GSM736636
-0.485	0.0948216784992535	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1805007	76	GSM816628
-1.009	0	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig		77	GSM736602,GSM736572
