Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.406	1.14934123783759	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs10824026	1	GSM816644
2.757	1.48109735763098	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs1152591,rs2106261	2	Lookup
0.862	0.437611622202609	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7193343	3	Lookup
-0.730	8.68588553597002e-11	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
0.720	0.387334380157702	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7193343	5	Lookup
2.360	1.14252463031453	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs7193343	6	GSM816664
0.919	0.462256863127889	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7193343	7	GSM736607
-0.553	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.851	0.438400634473648	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs13376333	9	GSM736525
-0.730	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
0.168	0.231591817392025	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs7193343	11	GSM816665,GSM736496,GSM736620
3.796	1.9825832936425	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs7164883,rs7193343	12	GSM816656
5.266	3.06045733604551	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs2106261,rs7164883,rs7193343	13	GSM816657
0.747	0.404257783547014	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7164883	14	GSM816653
1.952	0.954068733609247	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs7193343	15	GSM816658
2.431	1.13410038296912	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7164883,rs7193343	16	GSM816659
2.868	1.52635762849133	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs2106261,rs7193343	17	GSM816648
1.996	0.969428406899322	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10824026,rs7193343	18	GSM736626,GSM736595
0.601	0.357013381274288	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs7193343	19	GSM736501,GSM736492
2.057	1.14020236777158	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10824026,rs3807989,rs7193343	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.374	1.14592426518116	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10824026,rs7193343	21	GSM736604,GSM736529
0.385	0.292748169320608	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs7193343	22	GSM736592,GSM1024760
